MinifigNumber,MinifigName,CharacterName,MinifigCategory,AppearsIn,OwnedInSets,OwnedLoose,Notes,Value new (USD),Value used (USD)
"30598pb02","Shredd","Shredd","Racers / Xalax","4570-1",1,0,"",0.4800,0.2000
"30598pb03","Scratch","Scratch","Racers / Xalax","4572-1",1,0,"",0.4500,0.3500
"30598pb04","Lightor / Subzero","Lightor / Subzero","Racers / Xalax","1202-1,1239-1,4573-1",1,0,"",3.0000,0.2000
"30598pb06","Gear","Gear","Racers / Xalax","4566-1",1,0,"",0.5000,0.6400
"30599pb02","Surfer","Surfer","Racers / Xalax","4567-1",1,0,"",1.1200,0.3500
"30599pb03","Warrior","Warrior","Racers / Xalax","4569-1",1,0,"",0.1300,0.2400
"30599pb04","Spiky","Spiky","Racers / Xalax","4571-1",1,0,"",0.1400,0.3200
"30599pb07","Loopin","Loopin","Racers / Xalax","4568-1",1,0,"",0.0900,0.2600
"51635","Bionicle Mini - Toa Hordika Whenua","","BIONICLE / Toa Hordika","8757-1,8758-1,8759-1,8769-1",1,0,"",0.5700,0.4400
"51636","Bionicle Mini - Toa Hordika Matau","","BIONICLE / Toa Hordika","8757-1,8758-1,8759-1,8769-1",1,0,"",0.5900,0.4000
"51637","Bionicle Mini - Toa Hordika Vakama","","BIONICLE / Toa Hordika","8757-1,8758-1,8759-1,8769-1",1,0,"",1.0700,0.4300
"51638","Bionicle Mini - Toa Hordika Nokama","","BIONICLE / Toa Hordika","8757-1,8758-1,8759-1,8769-1",1,0,"",0.8200,0.4100
"51639","Bionicle Mini - Toa Hordika Onewa","","BIONICLE / Toa Hordika","8757-1,8758-1,8759-1,8769-1",1,0,"",0.9300,0.4100
"51640","Bionicle Mini - Toa Hordika Nuju","","BIONICLE / Toa Hordika","8757-1,8758-1,8759-1,8769-1",1,0,"",0.6200,0.3600
"51991a","Bionicle Mini - Visorak Boggarak","","BIONICLE / Visorak","8757-1,8758-1,8759-1,8769-1",1,0,"",0.6600,0.5100
"51991b","Bionicle Mini - Visorak Keelerak","","BIONICLE / Visorak","8757-1,8758-1,8759-1,8769-1",1,0,"",0.6200,0.4100
"51991c","Bionicle Mini - Visorak Oohnorak","","BIONICLE / Visorak","8757-1,8758-1,8759-1,8769-1",2,0,"",0.5200,0.3800
"51991d","Bionicle Mini - Visorak Roporak","","BIONICLE / Visorak","8757-1,8758-1,8759-1,8769-1",1,0,"",0.5100,0.4500
"51991e","Bionicle Mini - Visorak Suukorak (Undetermined Glow in the Dark Side)","","BIONICLE / Visorak","8757-1,8758-1,8759-1",2,0,"",0.5800,0.3500
"51991f","Bionicle Mini - Visorak Vohtarak","","BIONICLE / Visorak","8757-1,8758-1,8759-1,8769-1",1,0,"",0.3800,0.4500
"90398pb044","Ant-Man (Scott Lang) Statuette / Trophy - Upgraded Suit (6353238)","Ant-Man","Super Heroes / The Infinity Saga","76192-1,76269-1",1,0,"",1.0900,1.0700
"90398pb045","Alastor Moody Statuette / Trophy","Alastor 'Mad-Eye' Moody","Harry Potter / General","76397-1",1,0,"",1.4300,1.3400
"aqu023","Aquaraider Diver 8 with Black Flippers","","Aquazone / Aquaraiders II","7773-1,7774-1",1,0,"",4.3500,1.5400
"aqu025","Aquaraider Diver 6 with Black Flippers","","Aquazone / Aquaraiders II","7771-1,7773-1",1,0,"",2.8000,1.6600
"avt001","Neytiri - Yellow Armor and War Paint","Neytiri","Avatar / General","75571-1",1,0,"",6.1500,5.5600
"avt002","Colonel Miles Quaritch","Colonel Miles Quaritch","Avatar / General","75571-1",1,0,"",6.5600,5.2300
"avt007","Dr. Grace Augustine","Dr. Grace Augustine","Avatar / General","75573-1",1,0,"",5.3900,7.9700
"avt008","Trudy Chacon","Trudy Chacon","Avatar / General","75573-1",1,0,"",5.7700,5.3300
"avt009","Norm Spellman - Na'vi","Norm Spellman","Avatar / General","75573-1",1,0,"",6.7100,15.0000
"avt010","Jake Sully - Human","Jake Sully","Avatar / General","75573-1",1,0,"",5.3200,7.5000
"avt011","Jake Sully - Na'vi, Shoulder Strap, Orange Face Paint","Jake Sully","Avatar / General","75573-1",1,0,"",5.4300,5.7500
"avt022","Jake Sully - Na'vi, Shoulder Strap, Utility Belt","Jake Sully","Avatar / The Way of Water","75576-1",1,0,"",7.2000,7.1800
"avt023","Tonowari - Reddish Brown Strap and Silver Belt","Tonowari","Avatar / The Way of Water","75576-1",1,0,"",6.1300,11.1100
"bat002","Batman, Black Suit","Batman","Batman I / General","7781-1,7783-1,7785-1,comcon003-1,DC1-1",1,0,"",16.0100,10.5100
"bat004","Two-Face with Black Stripe Hips","Two-Face","Batman I / General","7781-1",1,0,"",40.0400,29.5400
"bat006","Two-Face's Henchman","Two-Face's Henchman","Batman I / General","7781-1",1,0,"",16.2900,7.7400
"bio001","Bionicle Mini - Piraka Zaktan","","BIONICLE / Piraka","8624-1,8893-1,8894-1",1,0,"",2.9400,1.9200
"bio002","Bionicle Mini - Piraka Thok","","BIONICLE / Piraka","6937-1,8624-1,8892-1,8894-1",1,0,"",8.5200,2.3100
"bio003","Bionicle Mini - Piraka Hakann","","BIONICLE / Piraka","6936-1,8624-1,8893-1,8894-1",1,0,"",2.6800,1.8800
"bio004","Bionicle Mini - Piraka Reidak","","BIONICLE / Piraka","8624-1,8892-1,8894-1",1,0,"",4.5000,1.8300
"bio005","Bionicle Mini - Toa Inika Jaller","","BIONICLE / Toa Inika","8624-1,8892-1,8894-1",1,0,"",3.1100,1.7200
"bio006","Bionicle Mini - Toa Inika Nuparu","","BIONICLE / Toa Inika","8624-1,8893-1,8894-1",1,0,"",2.0600,1.6800
"bio007","Bionicle Mini - Toa Inika Hewkii","","BIONICLE / Toa Inika","8624-1,8893-1,8894-1",1,0,"",3.1100,1.7900
"bio008","Bionicle Mini - Toa Inika Hahli","","BIONICLE / Toa Inika","8624-1,8893-1,8894-1",1,0,"",2.6200,1.7800
"bio009","Bionicle Mini - Toa Inika Matoro","","BIONICLE / Toa Inika","8893-1,8894-1",1,0,"",1.9600,1.8000
"bio010","Bionicle Mini - Piraka Avak","","BIONICLE / Piraka","8893-1,8894-1",1,0,"",2.6000,1.9500
"bio011","Bionicle Mini - Piraka Vezok","","BIONICLE / Piraka","8893-1,8894-1",1,0,"",2.5600,1.7000
"bio012","Bionicle Mini - Toa Inika Kongu","","BIONICLE / Toa Inika","6937-1,8892-1,8894-1",1,0,"",2.3000,1.9100
"cas022","Fright Knights - Bat Lord with Cape","Basil the Bat Lord","Castle / Fright Knights","6007-1,6047-1,6097-1,6099-1",1,0,"",29.8200,11.3200
"cas037","Knights Kingdom I - Knight 1","","Castle / Knights Kingdom I","6026-1,6091-1,6094-1,6098-1",1,0,"",8.6500,5.0100
"cas042","Knights Kingdom I - Robber 1, Black Neck-Protector","","Castle / Knights Kingdom I","6094-1",1,0,"",8.2300,5.3900
"cas102","Black Falcon - Light Gray Legs with Black Hips, Dark Gray Chin-Guard","","Castle / Black Falcons","6057-1",1,0,"",33.7300,5.6200
"cas103","Black Falcon - Light Gray Legs with Black Hips, Black Neck-Protector","","Castle / Black Falcons","6057-1",1,0,"",19.8200,6.1700
"cas150","Scale Mail - Red with Blue Arms, Black Legs with Red Hips, Dark Gray Neck-Protector","","Castle / Black Knights","6057-1",1,0,"",7.9300,5.0000
"cas159","Scale Mail - Red with Black Arms, Light Gray Legs with Black Hips, Dark Gray Neck-Protector","","Castle / Black Knights","6057-1",1,0,"",31.1500,6.0400
"cas322","Breastplate - Black, Black Legs with Red Hips, Black Neck-Protector, Red Plastic Cape","","Castle / Black Knights","6057-1",1,0,"",4.6200,5.2800
"cas327","Fantasy Era - Skeleton Warrior 1, Black","","Castle / Fantasy Era","7079-1,7091-1,7092-1,7094-1,7979-1,852001-1,852272-1",1,0,"",6.2300,3.5500
"cas329","Fantasy Era - Skeleton Warrior 3, White, Speckled Helmet","","Castle / Fantasy Era","7091-1,7092-1",2,0,"",5.3700,3.4300
"cas340","Fantasy Era - Crown Knight Plain with Breastplate, Grille Helmet, Vertical Cheek Lines","","Castle / Fantasy Era","7092-1",1,0,"",9.8300,6.9200
"cas341","Fantasy Era - Crown Knight Scale Mail with Crown, Helmet with Neck Protector, Dual Sided Head","","Castle / Fantasy Era","7092-1",1,0,"",7.2200,5.1900
"cas354","Fantasy Era - Dwarf, Black Beard, Metallic Silver Helmet with Studded Bands, Dark Blue Arms","","Castle / Fantasy Era","7036-1,852293-1",1,0,"",10.9900,10.0100
"cas355","Fantasy Era - Dwarf, Dark Brown Beard, Copper Helmet with Studded Bands, Sand Blue Arms, Vertical Cheek Lines","","Castle / Fantasy Era","7036-1",1,0,"",10.6600,10.3500
"cas356","Fantasy Era - Dwarf, Dark Brown Beard, Metallic Gold Helmet with Wings, Dark Red Arms, Smirk and Stubble Beard","","Castle / Fantasy Era","7036-1",1,0,"",10.0000,9.6700
"cas357","Fantasy Era - Dwarf, Dark Orange Beard, Metallic Silver Helmet with Wings, Dark Red Arms","","Castle / Fantasy Era","7036-1",1,0,"",10.8800,9.5500
"cas358","Fantasy Era - Troll, Dark Tan with Copper Armor","","Castle / Fantasy Era","7036-1,852293-1",1,0,"",20.3600,19.7300
"cas359","Fantasy Era - Troll Warrior 1","","Castle / Fantasy Era","7036-1,852293-1",2,0,"",6.3300,6.6900
"col001","Tribal Hunter, Series 1 (Minifigure Only without Stand and Accessories)","","Collectible Minifigures / Series  1 Minifigures","8683-1,8683-17",2,0,"",21.7200,10.0200
"col002","Cheerleader, Series 1 (Minifigure Only without Stand and Accessories)","","Collectible Minifigures / Series  1 Minifigures","853195-1,8683-17,8683-2",2,0,"",15.0000,4.7900
"col003","Caveman, Series 1 (Minifigure Only without Stand and Accessories)","","Collectible Minifigures / Series  1 Minifigures","8683-17,8683-3",2,0,"",7.4900,5.8100
"col004","Circus Clown, Series 1 (Minifigure Only without Stand and Accessories)","","Collectible Minifigures / Series  1 Minifigures","8683-17,8683-4",2,0,"",18.9600,11.4100
"col005","Zombie, Series 1 (Minifigure Only without Stand and Accessories)","","Collectible Minifigures / Series  1 Minifigures","8683-17,8683-5",2,0,"",22.4200,10.6000
"col006","Skater, Series 1 (Minifigure Only without Stand and Accessories)","","Collectible Minifigures / Series  1 Minifigures","853195-1,8683-17,8683-6",2,0,"",7.3300,5.0700
"col007","Robot, Series 1 (Minifigure Only without Stand and Accessories)","","Collectible Minifigures / Series  1 Minifigures","8683-17,8683-7",2,0,"",17.5100,7.8700
"col008","Demolition Dummy, Series 1 (Minifigure Only without Stand and Accessories)","","Collectible Minifigures / Series  1 Minifigures","8683-17,8683-8",2,0,"",13.3300,5.4600
"col009","Magician, Series 1 (Minifigure Only without Stand and Accessories)","","Collectible Minifigures / Series  1 Minifigures","8683-17,8683-9",2,0,"",8.2400,4.6200
"col010","Super Wrestler, Series 1 (Minifigure Only without Stand and Accessories)","","Collectible Minifigures / Series  1 Minifigures","8683-10,8683-17",2,0,"",11.8000,8.5100
"col011","Nurse, Series 1 (Minifigure Only without Stand and Accessories)","","Collectible Minifigures / Series  1 Minifigures","8683-11,8683-17",2,0,"",16.0300,7.4600
"col012","Ninja, Series 1 (Minifigure Only without Stand and Accessories)","","Collectible Minifigures / Series  1 Minifigures","8683-12,8683-17",2,0,"",13.4700,5.3100
"col013","Spaceman, Series 1 (Minifigure Only without Stand and Accessories)","","Collectible Minifigures / Series  1 Minifigures","8683-13,8683-17",2,0,"",10.5600,5.2000
"col014","Forestman, Series 1 (Minifigure Only without Stand and Accessories)","","Collectible Minifigures / Series  1 Minifigures","8683-14,8683-17",2,0,"",22.6400,18.0400
"col015","Deep Sea Diver, Series 1 (Minifigure Only without Stand and Accessories)","","Collectible Minifigures / Series  1 Minifigures","8683-15,8683-17",2,0,"",9.5500,6.3600
"col016","Cowboy, Series 1 (Minifigure Only without Stand and Accessories)","","Collectible Minifigures / Series  1 Minifigures","8683-16,8683-17",2,0,"",15.3300,7.9200
"col023","Explorer, Series 2 (Minifigure Only without Stand and Accessories)","","Collectible Minifigures / Series  2 Minifigures","8684-17,8684-7",1,0,"",5.3200,4.4000
"col050","Kimono Girl, Series 4 (Minifigure Only without Stand and Accessories)","","Collectible Minifigures / Series  4 Minifigures","8804-17,8804-2",1,0,"",8.0500,5.2700
"col069","Cave Woman, Series 5 (Minifigure Only without Stand and Accessories)","","Collectible Minifigures / Series  5 Minifigures","8805-17,8805-5",1,0,"",3.4000,2.5500
"col126","Thespian / Actor, Series 8 (Minifigure Only without Stand and Accessories)","","Collectible Minifigures / Series  8 Minifigures","8833-14,8833-17",1,0,"",18.9600,10.4300
"col140","Mermaid, Series 9 (Minifigure Only without Stand and Accessories)","","Collectible Minifigures / Series  9 Minifigures","71000-12,71000-17",1,0,"",7.8100,5.5000
"col160","Motorcycle Mechanic, Series 10 (Minifigure Only without Stand and Accessories)","","Collectible Minifigures / Series 10 Minifigures","71001-16,71001-17",1,0,"",3.4600,2.4200
"colhp03","Ron Weasley in School Robes, Harry Potter, Series 1 (Minifigure Only without Stand and Accessories)","Ron Weasley","Collectible Minifigures / Harry Potter / Harry Potter Series 1","71022-23,71022-3",1,0,"",4.9800,2.3200
"colhp04","Draco Malfoy, Harry Potter, Series 1 (Minifigure Only without Stand and Accessories)","Draco Malfoy","Collectible Minifigures / Harry Potter / Harry Potter Series 1","71022-23,71022-4",1,0,"",2.7700,2.2600
"colhp05","Luna Lovegood, Harry Potter, Series 1 (Minifigure Only without Stand and Accessories)","Luna Lovegood","Collectible Minifigures / Harry Potter / Harry Potter Series 1","71022-23,71022-5",1,0,"",7.3900,7.1000
"colhp06","Neville Longbottom, Harry Potter, Series 1 (Minifigure Only without Stand and Accessories)","Neville Longbottom","Collectible Minifigures / Harry Potter / Harry Potter Series 1","71022-23,71022-6",1,0,"",2.8900,2.0500
"colhp11","Professor Trelawney, Harry Potter, Series 1 (Minifigure Only without Stand and Accessories)","Professor Sybill Trelawney","Collectible Minifigures / Harry Potter / Harry Potter Series 1","71022-11,71022-23",1,0,"",14.4500,8.3400
"colhp12","Cedric Diggory, Harry Potter, Series 1 (Minifigure Only without Stand and Accessories)","Cedric Diggory","Collectible Minifigures / Harry Potter / Harry Potter Series 1","71022-12,71022-23",1,0,"",4.2400,2.6100
"colhp17","Newt Scamander, Harry Potter, Series 1 (Minifigure Only without Stand and Accessories)","Newt Scamander","Collectible Minifigures / Harry Potter / Harry Potter Series 1 / Fantastic Beasts","71022-17,71022-23",1,0,"",3.2400,2.4500
"colhp27","Luna Lovegood, Harry Potter, Series 2 (Minifigure Only without Stand and Accessories)","Luna Lovegood","Collectible Minifigures / Harry Potter / Harry Potter Series 2","71028-17,71028-5",1,0,"",4.4700,2.7800
"colhp28","Griphook, Harry Potter, Series 2 (Minifigure Only without Stand and Accessories)","Griphook","Collectible Minifigures / Harry Potter / Harry Potter Series 2","71028-17,71028-6",1,0,"",3.5200,2.2500
"colhp31","Ginny Weasley, Harry Potter, Series 2 (Minifigure Only without Stand and Accessories)","Ginny Weasley","Collectible Minifigures / Harry Potter / Harry Potter Series 2","71028-17,71028-9",1,0,"",5.2600,3.8000
"colmar01","The Scarlet Witch, Marvel Studios, Series 1 (Minifigure Only without Stand and Accessories)","Scarlet Witch","Collectible Minifigures / Super Heroes / Marvel Studios Series 1","71031-1,71031-13",2,0,"",10.2200,6.9100
"colmar02","The Vision, Marvel Studios, Series 1 (Minifigure Only without Stand and Accessories)","Vision","Collectible Minifigures / Super Heroes / Marvel Studios Series 1","71031-13,71031-2",2,0,"",5.3700,4.2200
"colmar03","Monica Rambeau, Marvel Studios, Series 1 (Minifigure Only without Stand and Accessories)","Monica Rambeau","Collectible Minifigures / Super Heroes / Marvel Studios Series 1","71031-13,71031-3",2,0,"",3.8900,2.9600
"colmar04","Winter Soldier, Marvel Studios, Series 1 (Minifigure Only without Stand and Accessories)","Winter Soldier","Collectible Minifigures / Super Heroes / Marvel Studios Series 1","71031-13,71031-4",2,0,"",5.3400,4.0800
"colmar05","Captain America, Marvel Studios, Series 1 (Minifigure Only without Stand and Accessories)","Captain America (Sam Wilson)","Collectible Minifigures / Super Heroes / Marvel Studios Series 1","71031-13,71031-5",2,0,"",6.6200,5.0900
"colmar06","Loki, Marvel Studios, Series 1 (Minifigure Only without Stand and Accessories)","Loki","Collectible Minifigures / Super Heroes / Marvel Studios Series 1","71031-13,71031-6",2,0,"",5.2200,3.9600
"colmar07","Sylvie, Marvel Studios, Series 1 (Minifigure Only without Stand and Accessories)","Sylvie","Collectible Minifigures / Super Heroes / Marvel Studios Series 1","71031-13,71031-7",2,0,"",3.6000,3.0200
"colmar08","Zombie Hunter Spidey, Marvel Studios, Series 1 (Minifigure Only without Stand and Accessories)","Spider-Man","Collectible Minifigures / Super Heroes / Marvel Studios Series 1","71031-13,71031-8",2,0,"",8.9200,6.9800
"colmar09","Zombie Captain America, Marvel Studios, Series 1 (Minifigure Only without Stand and Accessories)","Zombie Captain America","Collectible Minifigures / Super Heroes / Marvel Studios Series 1","71031-13,71031-9",2,0,"",5.4100,4.5900
"colmar10","Captain Carter, Marvel Studios, Series 1 (Minifigure Only without Stand and Accessories)","Captain Carter","Collectible Minifigures / Super Heroes / Marvel Studios Series 1","71031-10,71031-13",2,0,"",5.9300,4.6000
"colmar11","T'Challa Star-Lord, Marvel Studios, Series 1 (Minifigure Only without Stand and Accessories)","Star-Lord (T'Challa)","Collectible Minifigures / Super Heroes / Marvel Studios Series 1","71031-11,71031-13",2,0,"",4.7400,3.6000
"colmar12","Gamora with Blade of Thanos, Marvel Studios, Series 1 (Minifigure Only without Stand and Accessories)","Gamora","Collectible Minifigures / Super Heroes / Marvel Studios Series 1","71031-12,71031-13",2,0,"",4.7900,3.5900
"colsh04","Stargirl, DC Super Heroes (Minifigure Only without Stand and Accessories)","Star Girl","Collectible Minifigures / Super Heroes / DC Super Heroes","71026-17,71026-4",1,0,"",3.9600,2.3400
"colsh06","Cheetah, DC Super Heroes (Minifigure Only without Stand and Accessories)","Cheetah","Collectible Minifigures / Super Heroes / DC Super Heroes","71026-17,71026-6,77906-1",1,0,"",3.5200,2.9800
"colsh08","Green Lantern, DC Super Heroes (Minifigure Only without Stand and Accessories)","Green Lantern","Collectible Minifigures / Super Heroes / DC Super Heroes","71026-17,71026-8",1,0,"",4.0400,2.8300
"colsh11","Huntress, DC Super Heroes (Minifigure Only without Stand and Accessories)","Huntress","Collectible Minifigures / Super Heroes / DC Super Heroes","71026-11,71026-17",1,0,"",7.3100,5.4400
"colsh12","Metamorpho, DC Super Heroes (Minifigure Only without Stand and Accessories)","Metamorpho","Collectible Minifigures / Super Heroes / DC Super Heroes","71026-12,71026-17",1,0,"",4.0500,2.0300
"colsh13","Joker, DC Super Heroes (Minifigure Only without Stand and Accessories)","The Joker","Collectible Minifigures / Super Heroes / DC Super Heroes","71026-13,71026-17",1,0,"",4.1500,3.3300
"colsh14","Bumblebee, DC Super Heroes (Minifigure Only without Stand and Accessories)","Bumblebee","Collectible Minifigures / Super Heroes / DC Super Heroes","71026-14,71026-17",1,0,"",4.7500,3.8700
"coltlbm12","Eraser, The LEGO Batman Movie, Series 1 (Minifigure Only without Stand and Accessories)","Eraser","Collectible Minifigures / Super Heroes / The LEGO Batman Movie / The LEGO Batman Movie Series 1","71017-12,71017-21",1,0,"",3.2900,1.9900
"cop025","Police - Zipper with Sheriff Star, Black Hat","","Town / Classic Town / Police","1376-1",1,0,"",3.4400,1.1100
"cty0004","Fire - Reflective Stripes, Black Legs, Silver Fire Helmet, Gray Beard","","Town / City / Fire","7239-1",1,0,"",1.8000,1.1000
"cty0020","Fire - Reflective Stripes, Black Legs, White Fire Helmet, Cheek Lines, Dark Bluish Gray Hands","","Town / City / Fire","5532-1,7239-1",1,0,"",1.7400,1.0100
"cty0022","Fire - Reflective Stripes, Black Legs, White Fire Helmet, Brown Beard Angular","","Town / City / Fire","7240-1,7241-1",1,0,"",3.6000,0.9800
"cty0023","Fire - Reflective Stripes, Black Legs, White Fire Helmet, Brown Eyebrows, Thin Grin","","Town / City / Fire","7240-1",1,0,"",1.9300,0.8900
"cty0024","Fire - Reflective Stripes, Black Legs, White Fire Helmet, Breathing Neck Gear with Air Tanks","","Town / City / Fire","7240-1",1,0,"",2.2800,1.1900
"cty0043","Fire - Reflective Stripes, Black Legs, White Fire Helmet, Cheek Lines, Yellow Hands","","Town / City / Fire","30001-1,4992-1,7906-1,7945-1",1,0,"",1.7000,0.9900
"cty0044","Fire - Reflective Stripes, Black Legs, White Fire Helmet, Angry Eyebrows","","Town / City / Fire","7906-1",1,0,"",3.1700,0.9800
"cty0045","Fire - Reflective Stripes, Black Legs, Silver Fire Helmet, Beard Around Mouth","","Town / City / Fire","7906-1",1,0,"",2.9400,1.0300
"cty0052","Construction Worker - Orange Zipper, Safety Stripes, Orange Arms, Orange Legs, Red Construction Helmet","","Town / City / Construction","5610-1,5627-1",1,0,"",0.5100,1.3000
"cty0153","Police - City Suit with Blue Tie and Badge, Black Legs, Brown Moustache, Black Hat","","Town / City / Police","7687-1",1,0,"",1.8500,0.9800
"cty0155","Plain Blue Torso with White Arms, Dark Blue Legs, Helmet","","Town / City","7687-1",1,0,"",0.5200,1.3500
"cty0156","Plain White Torso with White Arms, Green Legs, Helmet and Scarf","","Town / City","7687-1",1,0,"",2.8100,1.4000
"cty0157","Lumberjack with Orange Vest","","Town / City","7687-1",1,0,"",2.0000,1.2300
"cty0158","Sanitary Engineer 3 - Orange Legs, Glasses and Beard","","Town / City / Construction","7687-1",1,0,"",1.9600,1.0400
"cty0567","Utility Shuttle Astronaut - Female","","Town / City / Space Exploration","60078-1,60080-1",1,0,"",3.7900,1.5700
"cty0568","Utility Shuttle Astronaut - Male","","Town / City / Space Exploration","30315-1,60078-1,60080-1",1,0,"",2.9000,1.4300
"cty1319","Rocket Racer - Stuntz Driver, White Jumpsuit with Blue and Red Arms, White Helmet, Trans-Red Visor","Rocket Racer","Town / City / Stuntz","60298-1",1,0,"",2.4900,1.5500
"cty1479","Peapod Costume Girl - Green Jacket","","Town / City","60347-1",1,0,"",5.3200,5.1900
"cty1480","Mr. Produce","Mr. Produce","Town / City","60347-1,60352-1",1,0,"",2.4800,2.0000
"cty1481","Child - Girl, Bright Pink Hoodie with Medium Blue and White Diagonal Stripes, Sand Blue Short Legs, Dark Orange Hair with Pigtails, Freckles","","Town / City","60347-1",1,0,"",3.6500,3.1000
"cty1482","Grocery Store Customer - Male, Bright Light Yellow Shirt, Dark Azure Legs with Prosthetic Leg, Medium Nougat Hair","","Town / City","60347-1",1,0,"",8.4200,5.7400
"cty1483","Forklift Driver - Female, Neon Yellow Safety Vest, Dark Blue Legs, White Cap with Bright Light Yellow Ponytail Hair","","Town / City","60347-1",1,0,"",3.4800,2.1100
"cty1692","Astronaut - Female, White Spacesuit with Dark Blue Arms, Dark Blue Helmet, Trans-Clear Visor, Dark Azure Jet Pack","","Town / City / Space Exploration","60430-1",1,0,"",3.7100,3.1100
"dim014","Cyberman","Cyberman","Dimensions / Doctor Who","71238-1",1,0,"",18.5600,13.8700
"din009","Digger - Binoculars Torso","","Dino Attack / General","7294-1,7473-1",1,0,"",4.9300,1.6500
"dis032","Elsa, Disney, Series 2 (Minifigure Only without Stand and Accessories)","Elsa","Collectible Minifigures / Disney / Disney Series 2","71024-19,71024-9",1,0,"",6.9900,4.6000
"dis033","Anna, Disney, Series 2 (Minifigure Only without Stand and Accessories)","Anna","Collectible Minifigures / Disney / Disney Series 2","71024-10,71024-19",1,0,"",5.3100,3.8200
"dis038","Sally, Disney, Series 2 (Minifigure Only without Stand and Accessories)","Sally","Collectible Minifigures / Disney / Disney Series 2","71024-15,71024-19",1,0,"",7.3300,4.5200
"dis039","Jack Skellington, Disney, Series 2 (Minifigure Only without Stand and Accessories)","Jack Skellington","Collectible Minifigures / Disney / Disney Series 2","71024-16,71024-19",1,0,"",18.7100,14.3900
"dis041","Frozone, Disney, Series 2 (Minifigure Only without Stand and Accessories)","Frozone","Collectible Minifigures / Disney / Disney Series 2","71024-18,71024-19",1,0,"",2.7600,1.7900
