MinifigNumber,MinifigName,CharacterName,MinifigCategory,AppearsIn,OwnedInSets,OwnedLoose,Notes,Value new (USD),Value used (USD)
"dis094","Jiminy Cricket, Disney 100 (Minifigure Only without Stand and Accessories)","Jiminy Cricket","Collectible Minifigures / Disney / Disney 100","71038-19,71038-3",1,0,"",5.5000,3.1900
"dis102","Miguel, Disney 100 (Minifigure Only without Stand and Accessories)","Miguel Rivera","Collectible Minifigures / Disney / Disney 100","71038-11,71038-19",1,0,"",5.7400,2.9600
"dis103","Pocahontas, Disney 100 (Minifigure Only without Stand and Accessories)","Pocahontas","Collectible Minifigures / Disney / Disney 100","71038-12,71038-19",1,0,"",5.2900,5.3900
"dis106","Prince John, Disney 100 (Minifigure Only without Stand and Accessories)","Prince John","Collectible Minifigures / Disney / Disney 100","71038-15,71038-19",1,0,"",6.3900,5.2500
"drm001","Izzie (Isabel Christina Garcia) - Medium Lavender Shoulder Pads","Izzie Garcia","DREAMZzz / General","71453-1,71472-1,71477-1",1,0,"",5.1100,4.7500
"drm002","Grimspawn - Black Helmet Castle Closed","Grimspawn","DREAMZzz / General","71453-1,71456-1",1,0,"",4.1700,4.2100
"exf001","Ha-Ya-To","Ha-Ya-To","Exo-Force / General","7705-1,7709-1,7713-1",1,0,"",7.0400,2.8400
"exf002","Gate Guard","Gate Guard","Exo-Force / General","7705-1,7706-1",1,0,"",20.1800,7.0700
"exf003","Iron Drone (Devastator)","Iron Drone","Exo-Force / General","7705-1,7707-1,7709-1,8108-1,8115-1",9,0,"",2.9000,1.4200
"exf005","Hikaru","Hikaru","Exo-Force / General","5966-1,7700-1,7709-1",1,0,"",5.4000,2.8600
"exf006","Takeshi","Takeshi","Exo-Force / General","5967-1,7701-1,7709-1,7712-1",1,0,"",7.6800,2.9600
"exf012","Meca One","Meca One","Exo-Force / General","7709-1,7713-1,8108-1",1,0,"",5.3400,2.5400
"exf014","Ryo - Gold Armor","Ryo","Exo-Force / General","3886-1,7721-1,8100-1,8108-1",1,0,"",6.6600,2.2500
"exf018","Devastator - Pearl Light Gray Torso","Devastator","Exo-Force / General","7713-1,8108-1",3,0,"",2.4000,1.6400
"firec006","Fire - Flame Badge and Straight Line, Black Legs, White Fire Helmet","","Town / Town Jr. / Fire","1702-1,6326-1,6340-1,6464-1,6554-1",1,0,"",4.0200,1.1700
"firec007","Fire - Air Gauge and Pocket, Light Gray Legs, White Fire Helmet","","Town / Classic Town / Fire","6340-1,6571-1",1,0,"",1.6000,1.3700
"gb001","Dr. Egon Spengler - Plain Arms, Proton Pack","Dr Egon Spengler","LEGO Ideas / General","21108-1",1,0,"",20.9500,16.5900
"gb002","Dr. Peter Venkman - Plain Arms, Proton Pack","Dr Peter Venkman","LEGO Ideas / General","21108-1",1,0,"",19.3900,13.0900
"gb003","Dr. Raymond (Ray) Stantz - Plain Arms, Proton Pack","Dr Raymond Stantz","LEGO Ideas / General","21108-1",1,0,"",18.4400,12.7700
"gb004","Winston Zeddemore  - Plain Arms, Proton Pack","Winston Zeddemore","LEGO Ideas / General","21108-1",1,0,"",17.1600,12.6400
"gen019","Skeleton, Fantasy Era Torso with Standard Skull, Mechanical Arms Straight","","Exo-Force / General","7623-1,8089-1,8108-1",2,0,"",3.8400,2.1200
"gen174","Skeleton - Evil Skull, Floppy Arms, Light Bluish Gray Neck Bracket","","Harry Potter / Goblet of Fire","4766-1",1,0,"",,1.9000
"gen176","Skeleton - Evil Skull, Floppy Arms, Arms as Legs","","Harry Potter / Goblet of Fire","4766-1",1,0,"",,1.8200
"hol004","Santa, Red Legs, Glasses, D-Basket","Santa Claus","Holiday & Event / Christmas","7687-1",1,0,"",3.0800,2.6700
"hp002","Hermione Granger - Gryffindor Shield Torso, Light Gray Legs, Black Cape with Stars","Hermione Granger","Harry Potter / Sorcerer's Stone","4706-1,4709-1,HPG04-1",1,0,"",8.9300,4.2000
"hp005","Harry Potter - Gryffindor Shield Torso, Light Gray Legs, Black Cape with Stars","Harry Potter","Harry Potter / Sorcerer's Stone","4702-1,4704-1,4711-1,4712-1,4729-1,4730-1,4733-1,HPG01-1",1,0,"",5.8100,1.9700
"hp007","Ron Weasley - Gryffindor Shield Torso, Black Cape with Stars","Ron Weasley","Harry Potter / Sorcerer's Stone","4704-1,4705-1,4706-1,4709-1,4730-1,HPG02-1",1,0,"",7.2300,2.4400
"hp011","Professor Quirinus Quirrell - Yellow Head, Purple Turban and Torso","Professor Quirinus Quirrell ","Harry Potter / Sorcerer's Stone","4702-1",1,0,"",20.0700,6.7800
"hp017","Dobby (Elf) - Tan","Dobby","Harry Potter / Chamber of Secrets","4731-1,HPG04-1",1,0,"",11.9300,4.1100
"hp018","Lucius Malfoy - Dark Gray Suit Torso, Dark Gray Legs","Lucius Malfoy","Harry Potter / Chamber of Secrets","4731-1,HPG01-1",1,0,"",12.4800,3.2600
"hp019","Harry Potter - Dark Red Quidditch Uniform","Harry Potter","Harry Potter / Chamber of Secrets","4726-1",1,0,"",8.5100,3.3100
"hp020","Draco Malfoy - Green Quidditch Uniform","Draco Malfoy","Harry Potter / Chamber of Secrets","4726-1",1,0,"",5.8600,3.3400
"hp021","Madam Rolanda Hooch - Black Outfit, Yellow Head, Cape with White Stripes","Madame Rolanda Hooch","Harry Potter / Chamber of Secrets","4726-1,HPG01-1",1,0,"",10.6400,3.8300
"hp032","Ron Weasley - Black and White Plaid Shirt","Ron Weasley","Harry Potter / Chamber of Secrets","4727-1",1,0,"",5.8900,2.7900
"hp033","Harry Potter - Dark Blue Jacket Torso, Light Gray Legs","Harry Potter","Harry Potter / Chamber of Secrets","4727-1",1,0,"",6.4900,2.2800
"hp034","Ron Weasley - Blue Sweater, Black Cape with Stars","Ron Weasley","Harry Potter / Sorcerer's Stone","4722-1",1,0,"",8.3800,3.2600
"hp035","Harry Potter - Hogwarts Torso, Light Gray Legs, Black Wizard / Witch Hat, Black Cape with Stars","Harry Potter","Harry Potter / Sorcerer's Stone","4701-1",1,0,"",21.5600,3.0100
"hp036","Harry Potter - Gryffindor Shield Torso, Light Gray Legs, Medium Violet Cape","Harry Potter","Harry Potter / Sorcerer's Stone","4706-1,4709-1,4721-1",1,0,"",12.6700,3.5100
"hp038","Harry Potter - Sand Green Sweater Torso, Blue Legs","Harry Potter","Harry Potter / Chamber of Secrets","4720-1",1,0,"",12.2500,6.8500
"hp039","Lucius Malfoy - Black Suit Torso, Black Legs","Lucius Malfoy","Harry Potter / Chamber of Secrets","4720-1",1,0,"",6.6200,6.2600
"hp045","Sirius Black - Black Hair","Sirius Black","Harry Potter / Prisoner of Azkaban","4753-1,4756-1",1,0,"",16.8800,8.1900
"hp046","Dementor - Sand Green with Dark Gray Shroud","Dementor","Harry Potter / Prisoner of Azkaban","10132-1,4753-1,4757-1,4758-1",1,0,"",15.5500,10.8400
"hp047","Stanley (Stan) Shunpike - Knight Bus Conductor Uniform","Stan Shunpike","Harry Potter / Prisoner of Azkaban","4755-1",1,0,"",8.5500,5.8600
"hp056a","Harry Potter - Gryffindor Stripe Torso, Dark Bluish Gray Legs, Plain Black Cape","Harry Potter","Harry Potter / Prisoner of Azkaban","4753-1",1,0,"",12.1500,6.4300
"hp059","Harry Potter - Blue Open Shirt Torso, Tan Legs, Light Nougat Hands & Head","Harry Potter","Harry Potter / Prisoner of Azkaban","4755-1",1,0,"",10.6600,5.0800
"hp061","Rubeus Hagrid - Reddish Brown Topcoat (Light Nougat Version with Movable Hands)","Rubeus Hagrid","Harry Potter / Prisoner of Azkaban","4754-1,5378-1",1,0,"",12.0400,9.0800
"hp063","Hermione Granger - Gryffindor Stripe Torso with Time Turner Necklace, Dark Bluish Gray Legs, Black Cape","Hermione Granger","Harry Potter / Prisoner of Azkaban","4754-1",1,0,"",26.1800,14.4600
"hp069a","Lord Voldemort - Glow In Dark Opaque Head, Dark Bluish Gray Dementor Style Cape","Lord Voldemort","Harry Potter / Goblet of Fire","4766-1",1,0,"",34.6700,56.6800
"hp071","Peter Pettigrew (Wormtail) - Light Bluish Gray Suit","Peter Pettigrew","Harry Potter / Goblet of Fire","4766-1",1,0,"",16.8300,13.8600
"hp073a","Death Eater (Lucius Malfoy) - Dark Bluish Gray Dementor Style Cape","Death Eater","Harry Potter / Goblet of Fire","4766-1",1,0,"",40.4000,15.1700
"hp074","Harry Potter - Tournament Uniform Paneled Shirt","Harry Potter","Harry Potter / Goblet of Fire","4766-1,4768-2",1,0,"",14.1500,8.7300
"hp134","Professor Severus Snape - Dark Purple Shirt, Black Robes, Printed Legs","Professor Severus Snape","Harry Potter / General","75953-1,75956-1",1,0,"",3.7800,2.3500
"hp135","Lucian Bole - Quidditch Uniform","Lucian Bole","Harry Potter / Sorcerer's Stone","75956-1",1,0,"",4.1700,2.6100
"hp136","Marcus Flint - Quidditch Uniform","Marcus Flint","Harry Potter / Sorcerer's Stone","75956-1",1,0,"",4.2600,2.4300
"hp137","Oliver Wood - Quidditch Uniform","Oliver Wood","Harry Potter / Sorcerer's Stone","75956-1",1,0,"",5.4400,2.9000
"hp138","Harry Potter - Quidditch Uniform","Harry Potter","Harry Potter / Sorcerer's Stone","75956-1",1,0,"",4.7500,2.6000
"hp139","Hermione Granger - Gryffindor Sweater","Hermione Granger","Harry Potter / General","75953-1,75954-1,75956-1",1,0,"",2.5200,1.4300
"hp142","Ron Weasley - Dark Tan Sweater","Ron Weasley","Harry Potter / Chamber of Secrets","40452-1,75953-1,75968-1",1,0,"",2.3400,1.4400
"hp163","Tina Goldstein","Tina Goldstein","Harry Potter / Fantastic Beasts","75952-1",1,0,"",3.1200,2.2900
"hp164","Queenie Goldstein","Queenie Goldstein","Harry Potter / Fantastic Beasts","75952-1",1,0,"",3.4400,2.4100
"hp165","Newt Scamander - Dark Orange Vest","Newt Scamander","Harry Potter / Fantastic Beasts","75952-1",1,0,"",4.5000,3.0300
"hp166","Jacob Kowalski","Jacob Kowalski","Harry Potter / Fantastic Beasts","75952-1",1,0,"",2.6500,1.9600
"hp175","Harry Potter - Dark Blue Open Jacket, Dark Tan Medium Legs","Harry Potter","Harry Potter / Prisoner of Azkaban","75945-1,75947-1,75957-1",1,0,"",1.8700,1.2800
"hp176","Harry Potter - Black and Dark Red Uniform, Medium Legs","Harry Potter","Harry Potter / Goblet of Fire","75946-1",1,0,"",4.7800,2.7100
"hp177","Viktor Krum - Reddish Brown Jacket","Viktor Krum","Harry Potter / Goblet of Fire","75946-1",1,0,"",4.7500,2.8100
"hp178","Fleur Delacour","Fleur Delacour","Harry Potter / Goblet of Fire","75946-1",1,0,"",5.2000,2.8700
"hp179","Cedric Diggory - Black and Yellow Uniform","Cedric Diggory","Harry Potter / Goblet of Fire","75946-1",1,0,"",5.4200,3.7400
"hp184","Harry Potter - Black Suit, White Bow Tie, Medium Legs","Harry Potter","Harry Potter / Goblet of Fire","75948-1,75981-1",1,0,"",2.8200,1.6900
"hp185","Ron Weasley - Reddish Brown Suit, Shirt with Ruffle","Ron Weasley","Harry Potter / Goblet of Fire","75948-1,75981-1",1,0,"",2.3300,1.6300
"hp186","Hermione Granger - Pink Dress","Hermione Granger","Harry Potter / Goblet of Fire","75948-1,75981-1",1,0,"",3.8100,2.3300
"hp187","Fleur Delacour - Dress","Fleur Delacour","Harry Potter / Goblet of Fire","75948-1",1,0,"",3.8000,3.0300
"hp188","Cedric Diggory - Black Suit and Bow Tie","Cedric Diggory","Harry Potter / Goblet of Fire","75948-1",1,0,"",4.1600,3.2800
"hp189","Viktor Krum - Red Uniform","Viktor Krum","Harry Potter / Goblet of Fire","75948-1",1,0,"",3.9200,2.8800
"hp190","Albus Dumbledore - Lavender Robe, Dark Tan Hat","Albus Dumbledore","Harry Potter / Goblet of Fire","75948-1",1,0,"",5.5100,4.2100
"hp191","Madame Olympe Maxime - White Dress","Madame Olympe Maxime","Harry Potter / Goblet of Fire","75948-1",1,0,"",4.4300,3.0800
"hp192","Stanley (Stan) Shunpike - Knight Bus Conductor Uniform, Red Band on Hat","Stan Shunpike","Harry Potter / Prisoner of Azkaban","75957-1",1,0,"",3.8000,2.2100
"hp193","Ernie Prang - Olive Green Vest Knit, Half Bald","Ernie Prang","Harry Potter / Prisoner of Azkaban","75957-1",1,0,"",4.2200,2.8900
"hp215","Vernon Dursley - Medium Nougat Sweater","Vernon Dursley","Harry Potter / Chamber of Secrets","75968-1",1,0,"",4.0200,2.8900
"hp216","Dudley Dursley - Red Sweater","Dudley Dursley","Harry Potter / Chamber of Secrets","75968-1",1,0,"",3.7100,1.8900
"hp217","Petunia Dursley","Petunia Dursley","Harry Potter / Chamber of Secrets","75968-1",1,0,"",4.1000,2.5700
"hp224","Dobby (Elf) - Light Nougat, Open Mouth Smile","Dobby","Harry Potter / Chamber of Secrets","75968-1",1,0,"",6.7200,4.1800
"hp233","Harry Potter - Dark Red Plaid Flannel Shirt, Black Short Legs","Harry Potter","Harry Potter / Chamber of Secrets","75968-1",1,0,"",2.6800,1.7000
"hp329","Professor Mad-Eye Moody - Medium Nougat Jacket (Barty Crouch Jr. Transformation)","Alastor 'Mad-Eye' Moody","Harry Potter / General","76397-1",1,0,"",7.5300,5.7400
"hp330","Neville Longbottom - Gryffindor Robe Open, Black Medium Legs","Neville Longbottom","Harry Potter / General","76397-1",1,0,"",2.6700,2.0800
"hp331","Hermione Granger - Gryffindor Robe Clasped, Sweater, Shirt and Tie, Black Medium Legs","Hermione Granger","Harry Potter / General","76397-1",1,0,"",2.5600,2.3300
"hp335","Kingsley Shacklebolt","Kingsley Shacklebolt","Harry Potter / Order of the Phoenix","76408-1",1,0,"",5.5200,6.3600
"hp336","Nymphadora Tonks - Medium Lavender Hair, Printed Legs","Nymphadora Tonks","Harry Potter / Order of the Phoenix","76408-1",1,0,"",9.5400,8.0100
"hp337","Sirius Black - Dark Brown Hair, Olive Green Jacket","Sirius Black","Harry Potter / Order of the Phoenix","76408-1",1,0,"",8.8600,7.4100
"hp338","Harry Potter - Dark Blue Open Jacket, Blue Legs","Harry Potter","Harry Potter / Order of the Phoenix","76408-1",1,0,"",2.9300,1.4800
"hp339","Ron Weasley - Striped Sweater, Tan Legs","Ron Weasley","Harry Potter / Order of the Phoenix","76408-1",1,0,"",3.8000,3.8300
"hp340","Molly Weasley - Bright Light Orange Outfit","Molly Weasley","Harry Potter / Order of the Phoenix","76408-1",1,0,"",5.8600,5.3600
"hp341","Kreacher (Elf)","Kreacher","Harry Potter / Order of the Phoenix","76408-1",1,0,"",11.3800,10.0800
"hp342","Fred Weasley - Tan Striped Shirt","Fred Weasley","Harry Potter / Order of the Phoenix","76408-1",1,0,"",5.4700,4.7600
"hp343","George Weasley - Tan Striped Shirt","George Weasley","Harry Potter / Order of the Phoenix","76408-1",1,0,"",5.1600,4.6200
"hp413","Harry Potter - Triwizard Uniform, Flippers","Harry Potter","Harry Potter / Goblet of Fire","76420-1",1,0,"",4.1800,4.5200
"hp414","Viktor Krum - Shark, Dual Sided Head","Viktor Krum","Harry Potter / Goblet of Fire","76420-1",1,0,"",5.8100,
"hp415","Hermione Granger - Gryffindor Robe Clasped, Black Medium Legs, Sleeping / Awake","Hermione Granger","Harry Potter / Goblet of Fire","76420-1",1,0,"",2.7600,2.2000
"hp416","Ron Weasley - Gryffindor Robe Clasped, Black Medium Legs, Sleeping / Awake","Ron Weasley","Harry Potter / Goblet of Fire","76420-1",1,0,"",2.8100,1.3100
"hp417","Merperson - Sand Green Body, Medium Nougat Wavy Hair","Merperson","Harry Potter / Goblet of Fire","76420-1",1,0,"",8.2700,7.1700
"iaj001","Indiana Jones - Dark Brown Jacket, Reddish Brown Fedora, Closed Mouth Lopsided Grin","Indiana Jones","Indiana Jones / General","20004-1,7198-1,7620-1,7621-1,7622-1,7623-1,7624-1,7625-1,7626-1,7627-1,7628-1,7683-1,852504-1,852719-1,promosw005-1",2,0,"",12.2600,5.5000
"iaj004","German Soldier 4","German Soldier","Indiana Jones / Raiders of the Lost Ark","7622-1",1,0,"",8.8200,6.3600
"iaj005","German Soldier 2","German Soldier","Indiana Jones / Raiders of the Lost Ark","7622-1",1,0,"",8.7400,6.0900
"iaj006","German Soldier 3","German Soldier","Indiana Jones / Raiders of the Lost Ark","7622-1",1,0,"",9.3400,6.8600
"iaj012","Mutt Williams","Mutt Williams","Indiana Jones / Kingdom of the Crystal Skull","7196-1,7624-1,7627-1,7628-1,852719-1",1,0,"",5.1400,3.3400
"iaj014","Irina Spalko","Irina Spalko","Indiana Jones / Kingdom of the Crystal Skull","7624-1,7627-1,7628-1,852719-1",1,0,"",3.9400,2.6500
"iaj046","Indiana Jones - Dark Brown Jacket, Black Tie, Reddish Brown Dual Molded Hat with Hair, Light Nougat Hands","Indiana Jones","Indiana Jones / Last Crusade","77012-1",1,0,"",5.7300,9.4800
"iaj047","Professor Henry Jones Sr. - Dark Bluish Gray Pith Helmet","Henry Jones Sr.","Indiana Jones / Last Crusade","77012-1",1,0,"",4.7200,4.1900
"iaj048","Fighter Pilot","German Fighter Pilot","Indiana Jones / Last Crusade","77012-1",1,0,"",3.9500,4.6500
"iaj049","Indiana Jones - Dark Brown Jacket, Reddish Brown Dual Molded Hat with Hair, Dark Tan Hands","Indiana Jones","Indiana Jones / Raiders of the Lost Ark","77013-1",1,0,"",5.9400,4.9400
"iaj050","Marion Ravenwood - White Tattered Dress","Marion Ravenwood","Indiana Jones / Raiders of the Lost Ark","77013-1",1,0,"",3.9700,3.7700
"iaj051","Sallah","Sallah","Indiana Jones / Raiders of the Lost Ark","77013-1",1,0,"",3.3400,5.2400
"iaj052","Mummy","Mummy","Indiana Jones / Raiders of the Lost Ark","77013-1",1,0,"",4.2600,3.6900
"idea020","The Eleventh Doctor","The Doctor","LEGO Ideas / General","21304-1",1,0,"",27.4400,20.2000
"idea021","The Twelfth Doctor, Purple Coat","The Doctor","LEGO Ideas / General","21304-1",1,0,"",8.7500,9.0400
"idea022","Clara Oswald","Clara Oswald","LEGO Ideas / General","21304-1",1,0,"",13.6300,8.9600
"idea023","Weeping Angel","Weeping Angel","LEGO Ideas / General","21304-1",1,0,"",33.7100,35.1000
"idea024","Dalek","Dalek","LEGO Ideas / General","21304-1",2,0,"",10.4300,8.6700
"idea107","Creed Bratton","Creed Bratton","LEGO Ideas / General","21336-1",1,0,"",3.3400,3.5800
"idea108","Kevin Malone","Kevin Malone","LEGO Ideas / General","21336-1",1,0,"",4.4800,4.0600
"idea109","Darryl Philbin","Darryl Philbin","LEGO Ideas / General","21336-1",1,0,"",4.4300,4.0700
"idea110","Oscar Martinez","Oscar Martinez","LEGO Ideas / General","21336-1",1,0,"",3.1400,1.9500
"idea111","Pam Beesly","Pam Beesly","LEGO Ideas / General","21336-1",1,0,"",4.9900,5.1100
"idea112","Jim Halpert","Jim Halpert","LEGO Ideas / General","21336-1",1,0,"",5.8000,4.9800
"idea113","Michael Scott","Michael Scott","LEGO Ideas / General","21336-1",1,0,"",7.7900,5.9800
"idea114","Dwight Schrute","Dwight Schrute","LEGO Ideas / General","21336-1",1,0,"",8.1700,7.0300
"idea115","Angela Martin","Angela Martin","LEGO Ideas / General","21336-1",1,0,"",3.3400,2.7300
"idea116","Stanley Hudson","Stanley Hudson","LEGO Ideas / General","21336-1",1,0,"",3.8500,3.3400
"idea117","Kelly Kapoor","Kelly Kapoor","LEGO Ideas / General","21336-1",1,0,"",3.7000,2.3800
"idea118","Ryan Howard","Ryan Howard","LEGO Ideas / General","21336-1",1,0,"",3.5700,2.8600
"idea119","Phyllis Lapin Vance","Phyllis Lapin Vance","LEGO Ideas / General","21336-1",1,0,"",3.2600,2.3900
"idea120","Meredith Palmer","Meredith Palmer","LEGO Ideas / General","21336-1",1,0,"",2.8700,2.0000
"idea121","Toby Flenderson","Toby Flenderson","LEGO Ideas / General","21336-1",1,0,"",3.9100,3.1500
"idea151","BTS V","V","LEGO Ideas / General","21339-1",1,0,"",6.6700,
"idea152","BTS Jin","Jin","LEGO Ideas / General","21339-1",1,0,"",5.2300,5.3600
"idea153","BTS Suga","Suga","LEGO Ideas / General","21339-1",1,0,"",8.5200,15.0000
"idea154","BTS RM","RM","LEGO Ideas / General","21339-1",1,0,"",7.1000,
"idea155","BTS Jungkook","Jungkook","LEGO Ideas / General","21339-1",1,0,"",6.9700,11.6600
"idea156","BTS Jimin","Jimin","LEGO Ideas / General","21339-1",1,0,"",5.8400,
"idea157","BTS J-Hope","J-Hope","LEGO Ideas / General","21339-1",1,0,"",6.5900,
"jbl001","Jacket Blue - Blue Legs, Red Cap, Sunglasses","","Town / Classic Town","2140-1,6562-1,6581-1,6649-1",1,0,"",1.5000,1.4900
"jbr002","Jacket Brown - Black Legs, Black Helmet, Trans-Light Blue Visor","","Town / Classic Town","6615-1",1,0,"",4.5000,1.3400
"js004","Jack Stone - Gray Jacket, Blue legs","","For Juniors / General","4605-1,4607-1,4622-1",1,0,"",0.7500,0.3700
"js018","Res-Q - Open Faced Helmet without Sunglasses","","For Juniors / General","4607-1",1,0,"",2.7100,0.6100
"jw019","Dr. Alan Grant - Medium Blue Shirt with Pockets with Blue Buttons, Tan Fedora","Alan Grant","Jurassic World / Jurassic Park","75932-1,75936-1",1,0,"",7.0900,4.9600
"jw028","Dr. Ellie Sattler - Bright Pink Shirt, Hair over Shoulder","Dr. Ellie Sattler","Jurassic World / Jurassic Park","75932-1",1,0,"",5.0900,4.5500
"jw029","Lex Murphy - Medium Lavender Tank Top","Lex Murphy","Jurassic World / Jurassic Park","75932-1",1,0,"",3.9200,4.1000
"jw030","Tim Murphy - Bright Light Blue Shirt","Tim Murphy","Jurassic World / Jurassic Park","75932-1",1,0,"",3.8000,3.4100
"jw048","Owen Grady - Open Neck Shirt","Owen Grady","Jurassic World / General","122007-1,122223-1,122331-1,122333-1,122403-1,75937-1,75938-1,76945-1,76947-1,76948-1,76949-1",2,0,"",1.8800,1.4400
"jw077","Rainn Delacourt - Dark Blue and White Shirt","Rainn Delacourt","Jurassic World / Dominion","122224-1,76945-1,76948-1",2,0,"",1.8700,1.4300
"jw078","Maisie Lockwood - Olive Green Jacket, Black Beanie","Maisie Lockwood","Jurassic World / Dominion","76946-1",1,0,"",3.6200,2.8400
"jw079","Claire Dearing - Dark Turquoise Shirt","Claire Dearing","Jurassic World / Dominion","76947-1,76948-1,76949-1",1,0,"",3.0100,2.1100
"jw080","Soyona Santos","Soyona Santos","Jurassic World / Dominion","76948-1",1,0,"",5.6100,5.3800
"jw095","Rainn Delacourt - Dark Blue and Dark Red Shirt","Rainn Delacourt","Jurassic World / Dominion","76946-1",1,0,"",3.3000,2.3700
"jw096","Dr. Alan Grant - Blue Shirt with Water Stains, Dark Tan Fedora","Alan Grant","Jurassic World / Jurassic Park","76956-1",1,0,"",5.0900,4.7600
"jw097","Dr. Ian Malcolm - Partially Open Shirt with Pocket and Water Stains","Ian Malcolm","Jurassic World / Jurassic Park","76956-1",1,0,"",6.3300,6.7800
"jw098","Lex Murphy - Medium Lavender Tank Top with Dirt Stains","Lex Murphy","Jurassic World / Jurassic Park","76956-1",1,0,"",4.1500,6.7100
"jw099","Tim Murphy - Bright Light Blue Shirt with Dirt Stains","Tim Murphy","Jurassic World / Jurassic Park","76956-1",1,0,"",3.8600,6.2200
"lom004","Life on Mars (LoM) Martian - Antares","","Space / Life on Mars","7314-1",1,0,"",31.6700,4.0600
"mm001","Mars Mission Alien with Marbled Glow In Dark Torso","","Space / Mars Mission","5617-1,7644-1,7645-1,7646-1,7647-1,7648-1,7690-1,7691-1,7692-1,7693-1,7694-1,7695-1,7697-1,7699-1",1,0,"",2.0600,0.8800
"mm011","Mars Mission Astronaut with Helmet and Dual Sided Head","","Space / Mars Mission","5619-1,7645-1,7646-1",1,0,"",2.6900,1.9400
"nba030","NBA Player, Number 4 with Dark Gray Legs","","Sports / Basketball","3431-1",1,0,"",1.9900,1.9200
"nba031","NBA Player, Number 10 with Blue Legs","","Sports / Basketball","3431-1",1,0,"",5.3900,2.6700
"nba032","Basketball Street Player, Light Gray Torso and Dark Blue Legs","","Sports / Basketball","3431-1",1,0,"",10.6900,2.1200
"nba033","Basketball Street Player, Tan Torso and Orange Legs","","Sports / Basketball","3431-1",1,0,"",3.4900,1.9500
"ovr007","Overalls Black with Pocket, Black Legs, Red Construction Helmet","","Town / Classic Town","6361-1,6541-1,6542-1,6543-1,6631-1,6682-1",1,0,"",1.8900,2.0800
"ow009","D.Va (Hana Song)","D.Va","Overwatch / General","75973-1",1,0,"",30.4900,25.7900
"ow010","Reinhardt Wilhelm","Reinhardt","Overwatch / General","75973-1",1,0,"",7.9600,8.1900
"par002","Horse and Palm - Yellow Legs, Black Ponytail Hair","","Town / Paradisa","6404-1,6418-1",1,0,"",6.1400,3.2700
"par024","Jogging Suit - White Legs, Red Ponytail Hair","","Town / Paradisa","1254-1,6418-1",1,0,"",6.5700,1.7100
"par033","Surfboard on Ocean - Blue Legs, Blue Cap","","Town / Paradisa","6418-1,6547-1",1,0,"",3.1600,1.2900
"par054","Blue Flowers - Yellow Legs, Brown Ponytail Hair","","Town / Paradisa","6418-1",1,0,"",4.7000,3.7100
"pck003","Jacket Green with 2 Large Pockets - Blue Legs, Blue Cap, Stubble","","Town / Classic Town","6670-1",1,0,"",2.4900,1.3000
"pln160","Plain Red Torso with Red Arms, Dark Blue Short Legs, Lopsided Smile (Child)","","Town / City","7687-1",1,0,"",1.9700,1.4400
"pm003","Rock Monster - Meltrox (Trans-Red)","Meltrox","Power Miners / General","8956-1,8961-1",1,0,"",8.1100,3.5400
"pm004","Rock Monster - Glaciator (Trans-Dark Blue)","Glaciator","Power Miners / General","8707-1,8958-1,8961-1,8964-1",1,0,"",9.2200,3.4800
