MinifigNumber,MinifigName,CharacterName,MinifigCategory,AppearsIn,OwnedInSets,OwnedLoose,Notes,Value new (USD),Value used (USD)
"pm013","Power Miner - Brains, Goggles","Dr Brains","Power Miners / General","8961-1",1,0,"",3.0000,1.5200
"pm014","Power Miner - Engineer, Goggles","Rex","Power Miners / General","8708-1,8961-1,8962-1",1,0,"",3.2100,1.4500
"post008","Post Office White Envelope and Stripe, Black Legs, Red Short Bill Cap, Gray Beard","","Town / City / Post Office","7687-1",1,0,"",2.2500,1.5200
"rac082","Red Blizzard","","Racers / Drome Racers","4593-1",1,0,"",2.9900,0.6700
"rac083","Zero Hurricane","","Racers / Drome Racers","4593-1",1,0,"",2.9900,1.0200
"rck002","Bandit","Bandit","Rock Raiders / General","1275-1,3348-1,4920-1,4930-1,4990-1",1,0,"",2.9200,1.6400
"sc082","Ferrari F8 Tributo Driver","","SPEED CHAMPIONS / General","76895-1",1,0,"",2.1500,1.5000
"sc095","Lamborghini Countach Driver","","SPEED CHAMPIONS / General","76908-1",1,0,"",2.2500,1.6400
"sc102","James Bond - Black Tuxedo (No Time To Die)","James Bond","SPEED CHAMPIONS / General","76911-1",1,0,"",3.4700,2.7200
"sc103","Dominic Toretto","Dominic Toretto","SPEED CHAMPIONS / General","76912-1",1,0,"",3.4800,3.0600
"sc104","Brian O'Conner","Brian O'Conner","SPEED CHAMPIONS / General","76917-1",1,0,"",4.5500,4.2400
"sh010","Poison Ivy, Hair Over Shoulder","Poison Ivy","Super Heroes / Batman II","10937-1,6860-1,76035-1",1,0,"",11.0400,6.3500
"sh013","Hulk - Giant, Dark Tan Pants","Hulk","Super Heroes / The Avengers","6868-1",1,0,"",30.6500,16.6700
"sh014","Captain America - Dark Blue Suit, Dark Red Hands, Mask","Captain America","Super Heroes / The Avengers","6865-1",1,0,"",9.7400,3.0200
"sh017","Wolverine - Hair","Wolverine","Super Heroes / X-Men","6866-1",1,0,"",25.2000,12.7800
"sh018","Thor - Starched Fabric Cape, Dark Blue Legs","Thor","Super Heroes / The Avengers","30163-1,6868-1,6869-1",2,0,"",6.3100,3.3100
"sh023","Guard","Guard","Super Heroes / Batman II","10937-1,6864-1",1,0,"",4.6000,2.5600
"sh029","Chitauri General","Chitauri General","Super Heroes / The Avengers","6865-1",1,0,"",4.1600,1.9900
"sh030","Chitauri Foot Soldier","Chitauri ","Super Heroes / The Avengers","6865-1,6869-1",2,0,"",4.0100,1.9500
"sh031","Magneto - Red Outfit","Magneto","Super Heroes / X-Men","6866-1",1,0,"",23.5500,13.1800
"sh032","Deadpool","Deadpool","Super Heroes / X-Men","6866-1",1,0,"",52.3900,46.6000
"sh033","Loki - 4.0cm Height Starched Fabric Cape","Loki","Super Heroes / The Avengers","6867-1,6868-1,6869-1",2,0,"",11.9500,7.6200
"sh034","Hawkeye - Black and Dark Red Suit, Medium Nougat Hair","Hawkeye","Super Heroes / The Avengers","30165-1,6867-1,6868-1",1,0,"",7.5600,3.1600
"sh035","Black Widow - Black Jumpsuit, Dark Orange Mid-Length Hair, Printed Legs, Black Hands","Black Widow","Super Heroes / The Avengers","6869-1",1,0,"",16.8800,8.0800
"sh036","Iron Man - Mark 7 Armor, Small Helmet Visor, Foot Repulsors","Iron Man","Super Heroes / The Avengers","6869-1",1,0,"",31.2400,17.4500
"sh038","Spider-Man - Black Web Pattern","Spider-Man","Super Heroes / Ultimate Spider-Man","10754-1,30302-1,30305-1,30448-1,30451-1,6873-1,76004-1,76005-1,76014-1,76015-1,76016-1,76057-1,76058-1,76059-1",1,0,"",3.5300,1.6100
"sh048","Batman - Black Wings, White Headband","Batman","Super Heroes / Batman II","10937-1",1,0,"",15.0900,7.3400
"sh057","Dr. Harleen Quinzel","Harley Quinn","Super Heroes / Batman II","10937-1",1,0,"",15.3900,13.0100
"sh058","Scarecrow","Scarecrow","Super Heroes / Batman II","10937-1",1,0,"",21.7800,21.8000
"sh059","Robin - Black Cape and Hood","Robin","Super Heroes / Batman II","10937-1",1,0,"",10.2900,8.6600
"sh060","The Penguin","The Penguin","Super Heroes / Batman II","10937-1,76035-1",1,0,"",5.8600,3.7800
"sh061","The Joker - Prison Jumpsuit with Belt","The Joker","Super Heroes / Batman II","10937-1",1,0,"",10.9900,7.5200
"sh065","Iron Man - Mark 42 Armor","Iron Man","Super Heroes / Iron Man 3","76006-1",1,0,"",18.6100,8.0500
"sh066","War Machine - Dark Bluish Gray and Silver Armor with Backpack","War Machine","Super Heroes / Iron Man 3","76006-1",1,0,"",23.5800,13.7500
"sh067","Aldrich Killian","Aldrich Killian","Super Heroes / Iron Man 3","76006-1",1,0,"",4.2700,2.2700
"sh068","Pepper Potts - White Suit","Pepper Potts","Super Heroes / Iron Man 3","76007-1",1,0,"",16.4300,7.6600
"sh069","Tony Stark - Black and Dark Bluish Gray Jumpsuit","Tony Stark","Super Heroes / Iron Man 3","76007-1",1,0,"",20.5900,9.4000
"sh070","The Mandarin (Trevor Slattery) - Dark Green Cape","The Mandarin","Super Heroes / Iron Man 3","76007-1",1,0,"",11.3900,6.1500
"sh071","Extremis Soldier","Extremis Soldier","Super Heroes / Iron Man 3","76007-1",1,0,"",4.5800,2.8500
"sh072a","Iron Man - Mark 42 Armor, White Head, Foot Repulsors","Iron Man","Super Heroes / Iron Man 3","76007-1",1,0,"",16.2300,9.3400
"sh073","Iron Man - Mark 17 (Heartbreaker) Armor","Iron Man","Super Heroes / Iron Man 3","76008-1",1,0,"",27.0000,13.8800
"sh074","The Mandarin (Trevor Slattery)","The Mandarin","Super Heroes / Iron Man 3","76008-1",1,0,"",4.2400,2.6600
"sh218","Batman - Dark Bluish Gray Suit, Gold Belt, Black Hands, Spongy Cape, Large Bat Logo","Batman","Super Heroes / Dawn of Justice","76045-1,76046-1",1,0,"",7.6800,3.8600
"sh220","Superman - Dark Blue Suit, Tousled Hair, Red Boots","Superman","Super Heroes / Dawn of Justice","76046-1",1,0,"",11.1100,6.6700
"sh221","Wonder Woman - Dark Red Torso, Dark Blue Skirt","Wonder Woman","Super Heroes / Dawn of Justice","76046-1,76087-1",1,0,"",14.7500,11.1300
"sh222","Lex Luthor - Tan Suit","Lex Luthor","Super Heroes / Dawn of Justice","76046-1",1,0,"",4.7200,2.6900
"sh225","Lois Lane - Black Suit","Lois Lane","Super Heroes / Dawn of Justice","76046-1",1,0,"",5.9500,3.9200
"sh244","Robin - Short Legs","Robin","Super Heroes / Mighty Micros / Batman II","76062-1",1,0,"",5.2800,2.5200
"sh245","Bane - Short Legs","Bane","Super Heroes / Mighty Micros / Batman II","76062-1",1,0,"",3.4000,1.7900
"sh267","Ghost Rider, Johnathon 'Johnny' Blaze - White Head, Chain Belt","Ghost Rider","Super Heroes / Spider-Man","76058-1",1,0,"",17.3800,8.6900
"sh268","Hobgoblin","Hobgoblin","Super Heroes / Spider-Man","76058-1",1,0,"",18.8100,10.7500
"sh385","Star-Lord - Silver Armor, Jet Pack","Star-Lord","Super Heroes / Guardians of the Galaxy Vol. 2","76081-1",1,0,"",18.6400,9.3900
"sh386","Nebula - Dark Azure Head, Torn Outfit","Nebula","Super Heroes / Guardians of the Galaxy Vol. 2","76081-1",1,0,"",15.6100,10.8300
"sh387","Drax - Dark Blue Legs, Jet Pack","Drax","Super Heroes / Guardians of the Galaxy Vol. 2","76081-1",1,0,"",45.9700,34.8900
"sh388","Gamora - Silver Armor","Gamora","Super Heroes / Guardians of the Galaxy Vol. 2","76081-1",1,0,"",13.7900,8.6800
"sh389","Groot - Baby","Groot","Super Heroes / Guardians of the Galaxy Vol. 2","76081-1",1,0,"",13.9000,13.8500
"sh420","Spider-Man - Black Web Pattern, Red Torso Small Vest, Red Boots","Spider-Man","Super Heroes / Spider-Man Homecoming","40343-1,76082-1,76083-1,76130-1",1,0,"",8.9100,5.6500
"sh421","Masked Robber - Green Mask, Striped Shirt","Masked Robber","Super Heroes / Spider-Man Homecoming","76082-1",1,0,"",4.0100,2.3800
"sh422","Masked Robber - Blue Mask, Red Shirt","Masked Robber","Super Heroes / Spider-Man Homecoming","76082-1",1,0,"",5.5000,2.6300
"sh470","Cyborg","Cyborg","Super Heroes / Justice League","76098-1",1,0,"",9.4800,7.2800
"sh471","Reverse Flash (Zoom)","Reverse Flash","Super Heroes / Justice League","76098-1",1,0,"",69.1900,42.0600
"sh472","Killer Frost","Killer Frost","Super Heroes / Justice League","76098-1",1,0,"",10.8400,8.1400
"sh473","The Flash - Gold Outlines on Chest","The Flash","Super Heroes / Justice League","211904-1,76098-1",1,0,"",7.8500,5.7900
"sh494","Black Widow - Black Jumpsuit, Bright Light Yellow Short Hair, Printed Legs","Black Widow","Super Heroes / Avengers Infinity War","76101-1",1,0,"",4.4900,2.8900
"sh495","Captain America - Dark Blue Suit, Dark Brown Hands, Hair","Captain America","Super Heroes / Avengers Infinity War","76101-1",1,0,"",9.3400,4.5000
"sh505","Outrider - Extended Arms, Torso with Long Dark Bluish Gray Tips at Neck","Outrider","Super Heroes / Avengers Infinity War","76101-1,76103-1,76104-1,76124-1,76125-1,76131-1",2,0,"",2.4200,1.5600
"sh536","Spider-Man - Metallic Light Blue Eye Highlights","Spider-Man","Super Heroes / Spider-Man","76113-1,76114-1,76115-1,76148-1,76150-1,76151-1,76163-1",1,0,"",4.0200,2.3200
"sh540","Spider-Man (Miles Morales) - Red Webbing on Head, Black Hands","Miles Morales Spider-Man","Super Heroes / Spider-Man","76113-1",1,0,"",11.9300,6.4600
"sh541","Carnage - Long Appendages","Carnage","Super Heroes / Spider-Man","76113-1",1,0,"",11.0200,7.6600
"sh554","Nick Fury (Young)","Nick Fury","Super Heroes / Captain Marvel","30453-1,76127-1",1,0,"",2.9900,2.2100
"sh605","Captain Marvel (Carol Danvers) - 'Vers' Kree Starforce Uniform","Captain Marvel","Super Heroes / Captain Marvel","30453-1,77902-1",1,0,"",3.7800,2.5400
"sh612","Iron Man - Silver Hexagon on Chest","Iron Man","Super Heroes / Avengers","242210-1,76140-1,76164-1,76166-1,76170-1",1,0,"",4.8500,3.1100
"sh665","Rescue (Pepper Potts) - Red Armor","Pepper Potts","Super Heroes / Avengers","242217-1,76164-1",1,0,"",8.4500,6.5600
"sh668","AIM Agent - Night Vision Goggles","AIM Agent","Super Heroes / Avengers","76164-1",1,0,"",2.7700,2.3200
"sh669","AIM Agent - Backpack","AIM Agent","Super Heroes / Avengers","76164-1",1,0,"",2.9200,2.2100
"sh681","Mysterio - Light Bluish Gray Head, Satin Trans-Light Blue Helmet, Single Hole Cape","Mysterio","Super Heroes / Spider-Man","76174-1",1,0,"",7.5600,7.3200
"sh682","Ghost Spider / Spider-Gwen - White Basic Smooth Hood","Ghost Spider","Super Heroes / Spider-Man","76174-1,76178-1,76279-1",1,0,"",8.3000,8.0700
"sh684","Spider-Man - Printed Arms","Spider-Man","Super Heroes / Spider-Man","242214-1,40454-1,76172-1,76173-1,76174-1,76175-1,76219-1,76275-1,76279-1",1,0,"",3.0900,2.2600
"sh687","Dr. Octopus (Otto Octavius) / Doc Ock - Dark Green Suit, Neck Bracket","Doctor Octopus","Super Heroes / Spider-Man","76174-1",1,0,"",7.3600,6.5700
"sh699","Katy","Katy","Super Heroes / Shang-Chi","76176-1",1,0,"",4.5200,3.4000
"sh700","Shang-Chi","Shang-Chi","Super Heroes / Shang-Chi","30454-1,76176-1,76177-1",1,0,"",3.4700,2.6200
"sh701","Wenwu (The Mandarin)","Wenwu","Super Heroes / Shang-Chi","76176-1,76177-1",1,0,"",3.9700,3.0300
"sh702","Razor Fist","Razor Fist","Super Heroes / Shang-Chi","76176-1",1,0,"",4.0500,3.1100
"sh728","Black Panther - Claw Necklace, Dark Purple and Lavender Highlights","Black Panther","Super Heroes / The Infinity Saga","76186-1,76192-1",1,0,"",4.2800,3.3600
"sh729","Captain America - Dark Blue Suit, Reddish Brown Hands, Hair, Dark Brown Eyebrows, Chin Strap","Captain America","Super Heroes / The Infinity Saga","76192-1",1,0,"",7.0200,6.2000
"sh730","Chitauri - Dark Bluish Gray","Chitauri","Super Heroes / The Infinity Saga","40525-1,76186-1,76192-1,76193-1,76269-1",1,0,"",2.0500,1.6300
"sh731","Iron Man - Mark 85 Armor, Hair","Iron Man","Super Heroes / The Infinity Saga","76192-1,76237-1",1,0,"",6.2300,5.1400
"sh732","The Scarlet Witch (Wanda Maximoff) - Plain Black Legs, Reddish Brown Hair","Scarlet Witch","Super Heroes / The Infinity Saga","76192-1",1,0,"",6.4500,5.0600
"sh733","Thanos - Large Figure, Medium Lavender Arms Plain, Dark Bluish Gray Outfit with Gold Armor, Smile","Thanos","Super Heroes / The Infinity Saga","76192-1",1,0,"",16.4800,13.8800
"sh734","Thor - Long Dark Tan Hair","Thor","Super Heroes / The Infinity Saga","40525-1,76192-1,76193-1",1,0,"",4.4800,3.7500
"sh742","Rocket Raccoon - Dark Bluish Gray Outfit, Reddish Brown Head","Rocket Raccoon","Super Heroes / The Infinity Saga","76193-1,76231-1",1,0,"",4.6100,3.9200
"sh745","Mantis - Black Belt with Clasps","Mantis","Super Heroes / The Infinity Saga","76193-1,76231-1",1,0,"",4.5200,4.4900
"sh778","Spider-Man - Black and Red Suit, Large Gold Spider, Gold Knee Trim (Integrated Suit)","Spider-Man","Super Heroes / Spider-Man No Way Home","76185-1,76261-1,76280-1",1,0,"",5.6300,5.0700
"sh780","Scarecrow, no Hat","Scarecrow","Super Heroes / The Dark Knight Trilogy","76239-1",1,0,"",9.8800,6.5500
"sh781","Batman - Black Suit with Copper Belt, Spongy Cape","Batman","Super Heroes / The Dark Knight Trilogy","76239-1",1,0,"",9.2500,6.2900
"sh782","Spider-Man - Black and Red Suit, Small Black Spider, Silver Trim (Upgraded Suit)","Spider-Man","Super Heroes / Spider-Man No Way Home","30443-1,76184-1",1,0,"",4.5600,4.4100
"sh786","Batman - Dark Bluish Gray Suit, Black Belt, Black Hands, Spongy Cape with 1 Hole, Black Boots","Batman","Super Heroes / The Batman","76179-1,76181-1,76183-1",1,0,"",4.1000,3.2800
"sh790","The Penguin","The Penguin","Super Heroes / The Batman","76181-1",1,0,"",4.3200,3.4300
"sh793","Wong - Dark Red Robe, Dark Purple Legs","Wong","Super Heroes / Doctor Strange in the Multiverse of Madness","76205-1",1,0,"",4.1700,3.2800
"sh801","America Chavez","America Chavez","Super Heroes / Doctor Strange in the Multiverse of Madness","76205-1",1,0,"",4.7500,3.6900
"sh802","Doctor Strange - Brooch, Rubber Cape","Doctor Strange","Super Heroes / Doctor Strange in the Multiverse of Madness","242317-1,30652-1,76205-1,76218-1,76261-1",3,0,"",3.8900,4.0900
"sh834","Star-Lord - Dark Red Legs","Star-Lord","Super Heroes / Guardians of the Galaxy","76231-1",1,0,"",3.0900,2.5700
"sh835","Nebula - Holiday Sweater","Nebula","Super Heroes / Guardians of the Galaxy","76231-1",1,0,"",3.2000,3.5600
"sh836","Groot, Teen Groot - Dark Tan with Neck Bracket","Groot","Super Heroes / Guardians of the Galaxy","76231-1",1,0,"",4.5000,3.9800
"sh837","Drax - Holiday Sweater","Drax","Super Heroes / Guardians of the Galaxy","76231-1",1,0,"",3.6000,3.5000
"sh873","Star-Lord - Dark Blue Suit","Star-Lord","Super Heroes / Guardians of the Galaxy Vol. 3","242402-1,76253-1,76255-1",2,0,"",2.9700,3.3800
"sh874","Groot, Teen Groot - Dark Tan with Shoulder Armor","Groot","Super Heroes / Guardians of the Galaxy Vol. 3","76253-1",1,0,"",3.7800,3.7600
"sh876","Nebula - Dark Blue Suit","Nebula","Super Heroes / Guardians of the Galaxy Vol. 3","76255-1",1,0,"",6.9700,7.0700
"sh877","Adam Warlock","Adam Warlock","Super Heroes / Guardians of the Galaxy Vol. 3","76255-1",1,0,"",21.2500,22.4900
"sh878","Mantis - Dark Blue Suit","Mantis","Super Heroes / Guardians of the Galaxy Vol. 3","76255-1",1,0,"",6.4800,7.0100
"sh879","Drax - Dark Blue Suit","Drax","Super Heroes / Guardians of the Galaxy Vol. 3","76255-1",1,0,"",7.4100,8.4200
"sh880","Batman - One Piece Cowl and Cape with Simple Bat Logo (1992)","Batman","Super Heroes / Tim Burton's Batman","212330-1,30653-1,76252-1",1,0,"",3.8900,4.1300
"sh888","Green Goblin - Green Outfit without Mask, Dark Brown Hair","Green Goblin","Super Heroes / Spider-Man No Way Home","76261-1",1,0,"",6.6400,10.4900
"sh889","The Amazing Spider-Man","Spider-Man","Super Heroes / Spider-Man No Way Home","76261-1",1,0,"",12.2600,16.5200
"sh890","Dr. Octopus (Otto Octavius) / Doc Ock - Dark Bluish Gray Outfit, Mechanical Arms","Doctor Octopus","Super Heroes / Spider-Man No Way Home","76261-1",1,0,"",8.1700,12.2000
"sh891","Electro - Black and Dark Tan Outfit, Medium Brown Head, Large Electricity Wings","Electro","Super Heroes / Spider-Man No Way Home","76261-1",1,0,"",8.4600,
"sh892","Friendly Neighborhood Spider-Man","Spider-Man","Super Heroes / Spider-Man No Way Home","76261-1",1,0,"",10.7300,14.6800
"sh893","Ned Leeds - Red and Yellow Letter Jacket, Sand Blue Legs","Ned Leeds","Super Heroes / Spider-Man No Way Home","76261-1",1,0,"",3.0400,3.0000
"sh894","MJ (Michelle Jones) - Dark Tan Striped Sweater, Dark Brown Wavy Hair","MJ","Super Heroes / Spider-Man No Way Home","76261-1",1,0,"",2.6500,3.9200
"soc055","Soccer Player - Red and Blue Team Goalie with Number 1","","Sports / Soccer","3420-1,3420-2,3420-3,3421-1,3422-1,3422-2,3425-1,3425-2",1,0,"",7.9000,1.4200
"soc081","Soccer Player White & Blue Team with shirt  #2","","Sports / Soccer","3420-1,3420-2,3425-2",1,0,"",2.2900,1.2500
"soc082","Soccer Player White & Blue Team with shirt  #4","","Sports / Soccer","3420-1,3420-2,3421-1,3425-2",1,0,"",6.4800,1.1200
"soc083","Soccer Player White & Blue Team with shirt  #9","","Sports / Soccer","3420-1,3420-2,3422-1,3422-2,3425-2",1,0,"",2.0900,1.3000
"soc084","Soccer Player White & Blue Team with shirt #10","","Sports / Soccer","3420-1,3420-2,3425-2",1,0,"",2.1700,1.1700
"soc085","Soccer Player White & Blue Team with shirt #11","","Sports / Soccer","1430-1,3420-1,3420-2,3423-1,3425-2",2,0,"",2.2800,1.0200
"soc086","Soccer Player - Red and White Team with Number 2","","Sports / Soccer","3420-1,3420-2,3425-2",1,0,"",3.7200,1.6500
"soc087","Soccer Player - Red and White Team with Number 4","","Sports / Soccer","3420-1,3420-2,3425-2",1,0,"",3.0000,1.3400
"soc088","Soccer Player - Red and White Team with Number 9","","Sports / Soccer","3420-1,3420-2,3421-1,3425-2",1,0,"",3.7200,1.3600
"soc089","Soccer Player - Red and White Team with Number 10","","Sports / Soccer","1428-1,3420-1,3420-2,3425-2",1,0,"",2.7400,1.2800
"soc090","Soccer Player - Red and White Team with Number 11","","Sports / Soccer","3420-1,3420-2,3421-1,3425-2",1,0,"",6.3700,1.4500
"soc091","Soccer Player - Red and White Team with Number 18","","Sports / Soccer","3424-1,3425-2",1,0,"",2.9900,1.3000
"soc094","Soccer Player White & Blue Team with shirt #18","","Sports / Soccer","3421-1,3425-2",1,0,"",1.4900,1.4800
"soc098","Soccer Player White Team Goalie with #1","","Sports / Soccer","1429-1,3420-1,3420-2,3420-3,3421-1,3423-1,3425-1,3425-2",2,0,"",1.9900,1.0200
"soc106","Soccer Player White & Blue Team with shirt  #5","","Sports / Soccer","3425-2",1,0,"",,5.3200
"soc135","Soccer Player - Red and White Team with Number 5","","Sports / Soccer","3425-2",1,0,"",,5.1600
"soc136","Soccer Player - Red and White Team with Number 8","","Sports / Soccer","3425-2",1,0,"",7.9900,2.0000
"soc137","Soccer Player - Red and White Team with Number 14","","Sports / Soccer","3425-2",1,0,"",7.9900,2.6000
"soc138","Soccer Player - Red and White Team with Number 7","","Sports / Soccer","3425-2",1,0,"",3.5000,4.2100
"soc139","Soccer Player White & Blue Team with shirt #14","","Sports / Soccer","3425-2",1,0,"",,2.1800
"soc140","Soccer Player White & Blue Team with shirt  #7","","Sports / Soccer","3425-2",1,0,"",6.2900,5.4800
"soc141","Soccer Player White & Blue Team with shirt  #8","","Sports / Soccer","3425-2",1,0,"",,4.7100
"sp008","Exploriens - Dark Gray Helmet and Radio Torso","","Space / Exploriens","1737-1,6856-1,6899-1,6938-1,6958-1,6982-1",4,0,"",5.8700,2.4200
"sp009","Exploriens Chief","","Space / Exploriens","6815-1,6958-1,6982-1",1,0,"",5.4500,2.5700
"sp012","Exploriens - Helmet with Breathing Apparatus and Hose Torso","","Space / Exploriens","1737-1,6854-1,6899-1,6938-1,6982-1",3,0,"",4.8300,2.4600
"sp018","Ice Planet - Male","","Space / Ice Planet 2002","1711-1,1731-1,3014-1,6814-1,6879-1,6898-1,6973-1,6983-1",1,0,"",14.8800,3.5600
"spd001a","Spider-Man 1 - Blue Arms and Legs, Silver Webbing, Neck Bracket","Spider-Man","Spider-Man / Spider-Man 1","1376-1",1,0,"",136.3400,54.1400
"spd002","Peter Parker 1 - Jacket Blue, Black Legs, Brown Male Hair","Peter Parker","Spider-Man / Spider-Man 1","1376-1",1,0,"",15.9900,5.4100
"spd004","Mary Jane 1","Mary Jane Watson","Spider-Man / Spider-Man 1","1374-1",1,0,"",8.0700,4.1000
"spd005a","Green Goblin with Neck Bracket","Green Goblin","Spider-Man / Spider-Man 1","1374-1",1,0,"",94.4900,41.9400
"spd011","Criminal","Dennis Carradine","Spider-Man / Spider-Man 1","4850-1",1,0,"",7.5000,4.8000
"spd012","Spider-Man 2 - Balaclava Face","Spider-Man","Spider-Man / Spider-Man 1","4850-1",1,0,"",141.7000,56.9000
"spd017","J. Jonah Jameson - Vest with Striped Tie, Flat Top Hair","J. Jonah Jameson","Spider-Man / Spider-Man 2","4855-1",1,0,"",8.9900,6.2700
"spd027","Dr. Octopus (Otto Octavius) / Doc Ock, Sand Green Jacket, Sand Green Legs, Clenched Teeth Smile - With Arms","Doctor Octopus","Spider-Man / Spider-Man 2","4855-1",1,0,"",61.3800,39.0500
"spd028","Spider-Man 3 - Dark Blue Arms and Legs, Silver Webbing","Spider-Man","Spider-Man / Spider-Man 2","4853-1,4854-1,4855-1,4856-1,4857-1",1,0,"",57.8000,31.9600
"spd030","Subway Train Conductor","Subway Train Conductor","Spider-Man / Spider-Man 2","4855-1",1,0,"",10.8700,5.9200
"sr001","Speed Racer, Blue Pullover","Speed Racer","Speed Racer / General","8158-1",1,0,"",7.0000,7.9600
"sr002","Snake Oiler","Snake Oiler","Speed Racer / General","8158-1",1,0,"",6.2700,3.0500
"sr003","Racer X","Racer X","Speed Racer / General","8159-1,8160-1",1,0,"",8.9900,3.4800
"sr004","Taejo Togokahn, White Suit","Taejo Togokahn","Speed Racer / General","8159-1",1,0,"",8.3600,2.7600
"stu002","Director","","Studios / General","1349-1,1352-1,1356-1,1360-1,1376-1,1382-1,1411-1,1421-1,4049-1,4052-1,4059-1",1,0,"",5.0200,1.7000
"stu009","Pilot","","Studios / General","1349-1,1371-1,1376-1",1,0,"",2.9100,1.5000
"sw0001d","Battle Droid - Tan, Straight Arms","Battle Droid","Star Wars / Star Wars The Clone Wars","75372-1,7678-1",1,0,"",1.6300,1.6600
"sw0003","Darth Maul - Hood and Cape, Sash without Pouch","Darth Maul","Star Wars / Star Wars Episode 1","3340-1,7101-1,7151-1,7663-1,852551-1",1,0,"",19.8500,9.7500
"sw0004","Darth Vader (Light Gray Head)","Darth Vader","Star Wars / Star Wars Episode 4/5/6","10123-1,3340-1,7150-1,7152-1,7200-1",1,0,"",46.9800,13.3900
"sw0005","Imperial Scout Trooper - Yellow Head, Dark Gray Torso Print","Scout Trooper","Star Wars / Star Wars Episode 4/5/6","3342-1,7128-1,7139-1",1,0,"",8.0900,4.1700
"sw0010","C-3PO - Pearl Light Gold","C-3PO","Star Wars / Star Wars Episode 4/5/6","10144-1,4475-1,4504-1,7106-1,7190-1",1,0,"",9.7000,6.4500
"sw0011","Chewbacca (Brown)","Chewbacca","Star Wars / Star Wars Episode 4/5/6","3342-1,7127-1,7190-1",1,0,"",9.9100,5.2700
"sw0012a","Dak Ralter (with Dark Bluish Gray Hips)","Dak Ralter","Star Wars / Star Wars Episode 4/5/6","4500-1",1,0,"",8.6100,3.6700
"sw0013","Gungan Soldier","Gungan Warrior","Star Wars / Star Wars Episode 1","7115-1",1,0,"",12.9700,6.9200
"sw0017","Jar Jar Binks","Jar Jar Binks","Star Wars / Star Wars Episode 1","7115-1,7121-1,7159-1,7161-1,7171-1",1,0,"",7.8800,4.2400
"sw0019a","Luke Skywalker (Pilot with Dark Bluish Gray Hips)","Luke Skywalker","Star Wars / Star Wars Episode 4/5/6","4500-1",1,0,"",11.2100,4.8300
"sw0021","Luke Skywalker (Tatooine)","Luke Skywalker","Star Wars / Star Wars Episode 4/5/6","4501-1,7110-1,7190-1",1,0,"",8.3100,4.9700
"sw0023","Obi-Wan Kenobi with Light Gray Hair (Old)","Obi-Wan Kenobi","Star Wars / Star Wars Episode 4/5/6","7110-1",1,0,"",13.7600,5.6400
"sw0027","Qui-Gon Jinn (Yellow Head)","Qui-Gon Jinn","Star Wars / Star Wars Episode 1","7101-1,7121-1,7161-1,7171-1,7204-1",1,0,"",13.1400,6.2100
"sw0028","Astromech Droid, R2-D2","R2-D2","Star Wars / General","10144-1,4475-1,4502-1,6212-1,7106-1,7140-1,7141-1,7142-1,7171-1,7190-1,7191-1,7660-1,7669-1,7680-1",1,0,"",5.7800,2.3500
"sw0029","Astromech Droid, R5-D4, Short Red Stripes on Dome","R5-D4","Star Wars / General","10134-1,7150-1,7152-1,7180-1,7259-1,7262-1,7658-1",1,0,"",7.7200,3.9800
"sw0030","Rebel Engineer","Rebel Engineer","Star Wars / Star Wars Episode 4/5/6","7134-1",1,0,"",11.7500,5.3600
