MinifigNumber,MinifigName,CharacterName,MinifigCategory,AppearsIn,OwnedInSets,OwnedLoose,Notes,Value new (USD),Value used (USD),
30598pb02,Shredd,Shredd,Racers / Xalax,4570-1,1,0,,0.48,0.2,9
30598pb03,Scratch,Scratch,Racers / Xalax,4572-1,1,0,,0.45,0.35,
30598pb04,Lightor / Subzero,Lightor / Subzero,Racers / Xalax,"1202-1,1239-1,4573-1",1,0,,3,0.2,
30598pb06,Gear,Gear,Racers / Xalax,4566-1,1,0,,0.5,0.64,
30599pb02,Surfer,Surfer,Racers / Xalax,4567-1,1,0,,1.12,0.35,
30599pb03,Warrior,Warrior,Racers / Xalax,4569-1,1,0,,0.13,0.24,
30599pb04,Spiky,Spiky,Racers / Xalax,4571-1,1,0,,0.14,0.32,
30599pb07,Loopin,Loopin,Racers / Xalax,4568-1,1,0,,0.09,0.26,
51635,Bionicle Mini - Toa Hordika Whenua,-,BIONICLE / Toa Hordika,"8757-1,8758-1,8759-1,8769-1",1,0,,0.57,0.44,
51636,Bionicle Mini - Toa Hordika Matau,-,BIONICLE / Toa Hordika,"8757-1,8758-1,8759-1,8769-1",1,0,,0.59,0.4,
51637,Bionicle Mini - Toa Hordika Vakama,-,BIONICLE / Toa Hordika,"8757-1,8758-1,8759-1,8769-1",1,0,,1.07,0.43,
51638,Bionicle Mini - Toa Hordika Nokama,-,BIONICLE / Toa Hordika,"8757-1,8758-1,8759-1,8769-1",1,0,,0.82,0.41,
51639,Bionicle Mini - Toa Hordika Onewa,-,BIONICLE / Toa Hordika,"8757-1,8758-1,8759-1,8769-1",1,0,,0.93,0.41,
51640,Bionicle Mini - Toa Hordika Nuju,-,BIONICLE / Toa Hordika,"8757-1,8758-1,8759-1,8769-1",1,0,,0.62,0.36,
51991a,Bionicle Mini - Visorak Boggarak,-,BIONICLE / Visorak,"8757-1,8758-1,8759-1,8769-1",1,0,,0.66,0.51,
51991b,Bionicle Mini - Visorak Keelerak,-,BIONICLE / Visorak,"8757-1,8758-1,8759-1,8769-1",1,0,,0.62,0.41,
51991c,Bionicle Mini - Visorak Oohnorak,-,BIONICLE / Visorak,"8757-1,8758-1,8759-1,8769-1",2,0,,0.52,0.38,
51991d,Bionicle Mini - Visorak Roporak,-,BIONICLE / Visorak,"8757-1,8758-1,8759-1,8769-1",1,0,,0.51,0.45,
51991e,Bionicle Mini - Visorak Suukorak (Undetermined Glow in the Dark Side),-,BIONICLE / Visorak,"8757-1,8758-1,8759-1",2,0,,0.58,0.35,
51991f,Bionicle Mini - Visorak Vohtarak,-,BIONICLE / Visorak,"8757-1,8758-1,8759-1,8769-1",1,0,,0.38,0.45,
90398pb044,Ant-Man (Scott Lang) Statuette / Trophy - Upgraded Suit (6353238),Ant-Man,Super Heroes / The Infinity Saga,"76192-1,76269-1",1,0,,1.09,1.07,
90398pb045,Alastor Moody Statuette / Trophy,Alastor 'Mad-Eye' Moody,Harry Potter / General,76397-1,1,0,,1.43,1.34,
aqu023,Aquaraider Diver 8 with Black Flippers,-,Aquazone / Aquaraiders II,"7773-1,7774-1",1,0,,4.35,1.54,
aqu025,Aquaraider Diver 6 with Black Flippers,-,Aquazone / Aquaraiders II,"7771-1,7773-1",1,0,,2.8,1.66,
avt001,Neytiri - Yellow Armor and War Paint,Neytiri,Avatar / General,75571-1,1,0,,6.15,5.56,
avt002,Colonel Miles Quaritch,Colonel Miles Quaritch,Avatar / General,75571-1,1,0,,6.56,5.23,
avt007,Dr. Grace Augustine,Dr. Grace Augustine,Avatar / General,75573-1,1,0,,5.39,7.97,
avt008,Trudy Chacon,Trudy Chacon,Avatar / General,75573-1,1,0,,5.77,5.33,
avt009,Norm Spellman - Na'vi,Norm Spellman,Avatar / General,75573-1,1,0,,6.71,15,
avt010,Jake Sully - Human,Jake Sully,Avatar / General,75573-1,1,0,,5.32,7.5,
avt011,Jake Sully - Na'vi /  Shoulder Strap / Orange Face Paint,Jake Sully,Avatar / General,75573-1,1,0,,5.43,5.75,
avt022,Jake Sully - Na'vi /  Shoulder Strap / Utility Belt,Jake Sully,Avatar / The Way of Water,75576-1,1,0,,7.2,7.18,
avt023,Tonowari - Reddish Brown Strap and Silver Belt,Tonowari,Avatar / The Way of Water,75576-1,1,0,,6.13,11.11,
bat002,Batman /  Black Suit,Batman,Batman I / General,"7781-1,7783-1,7785-1,comcon003-1,DC1-1",1,0,,16.01,10.51,
bat004,Two-Face with Black Stripe Hips,Two-Face,Batman I / General,7781-1,1,0,,40.04,29.54,
bat006,Two-Face's Henchman,Two-Face's Henchman,Batman I / General,7781-1,1,0,,16.29,7.74,
bio001,Bionicle Mini - Piraka Zaktan,-,BIONICLE / Piraka,"8624-1,8893-1,8894-1",1,0,,2.94,1.92,
bio002,Bionicle Mini - Piraka Thok,-,BIONICLE / Piraka,"6937-1,8624-1,8892-1,8894-1",1,0,,8.52,2.31,
bio003,Bionicle Mini - Piraka Hakann,-,BIONICLE / Piraka,"6936-1,8624-1,8893-1,8894-1",1,0,,2.68,1.88,
bio004,Bionicle Mini - Piraka Reidak,-,BIONICLE / Piraka,"8624-1,8892-1,8894-1",1,0,,4.5,1.83,
bio005,Bionicle Mini - Toa Inika Jaller,-,BIONICLE / Toa Inika,"8624-1,8892-1,8894-1",1,0,,3.11,1.72,
bio006,Bionicle Mini - Toa Inika Nuparu,-,BIONICLE / Toa Inika,"8624-1,8893-1,8894-1",1,0,,2.06,1.68,
bio007,Bionicle Mini - Toa Inika Hewkii,-,BIONICLE / Toa Inika,"8624-1,8893-1,8894-1",1,0,,3.11,1.79,
bio008,Bionicle Mini - Toa Inika Hahli,-,BIONICLE / Toa Inika,"8624-1,8893-1,8894-1",1,0,,2.62,1.78,
bio009,Bionicle Mini - Toa Inika Matoro,-,BIONICLE / Toa Inika,"8893-1,8894-1",1,0,,1.96,1.8,
bio010,Bionicle Mini - Piraka Avak,-,BIONICLE / Piraka,"8893-1,8894-1",1,0,,2.6,1.95,
bio011,Bionicle Mini - Piraka Vezok,-,BIONICLE / Piraka,"8893-1,8894-1",1,0,,2.56,1.7,
bio012,Bionicle Mini - Toa Inika Kongu,-,BIONICLE / Toa Inika,"6937-1,8892-1,8894-1",1,0,,2.3,1.91,
cas022,Fright Knights - Bat Lord with Cape,Basil the Bat Lord,Castle / Fright Knights,"6007-1,6047-1,6097-1,6099-1",1,0,,29.82,11.32,
cas037,Knights Kingdom I - Knight 1,-,Castle / Knights Kingdom I,"6026-1,6091-1,6094-1,6098-1",1,0,,8.65,5.01,
cas042,Knights Kingdom I - Robber 1 /  Black Neck-Protector,-,Castle / Knights Kingdom I,6094-1,1,0,,8.23,5.39,
cas102,Black Falcon - Light Gray Legs with Black Hips /  Dark Gray Chin-Guard,-,Castle / Black Falcons,6057-1,1,0,,33.73,5.62,
cas103,Black Falcon - Light Gray Legs with Black Hips /  Black Neck-Protector,-,Castle / Black Falcons,6057-1,1,0,,19.82,6.17,
cas150,Scale Mail - Red with Blue Arms /  Black Legs with Red Hips /  Dark Gray Neck-Protector,-,Castle / Black Knights,6057-1,1,0,,7.93,5,
cas159,Scale Mail - Red with Black Arms /  Light Gray Legs with Black Hips /  Dark Gray Neck-Protector,-,Castle / Black Knights,6057-1,1,0,,31.15,6.04,
cas322,Breastplate - Black /  Black Legs with Red Hips /  Black Neck-Protector /  Red Plastic Cape,-,Castle / Black Knights,6057-1,1,0,,4.62,5.28,
cas327,Fantasy Era - Skeleton Warrior 1 /  Black,-,Castle / Fantasy Era,"7079-1,7091-1,7092-1,7094-1,7979-1,852001-1,852272-1",1,0,,6.23,3.55,
cas329,Fantasy Era - Skeleton Warrior 3 /  White /  Speckled Helmet,-,Castle / Fantasy Era,"7091-1,7092-1",2,0,,5.37,3.43,
cas340,Fantasy Era - Crown Knight Plain with Breastplate /  Grille Helmet /  Vertical Cheek Lines,-,Castle / Fantasy Era,7092-1,1,0,,9.83,6.92,
cas341,Fantasy Era - Crown Knight Scale Mail with Crown /  Helmet with Neck Protector /  Dual Sided Head,-,Castle / Fantasy Era,7092-1,1,0,,7.22,5.19,
cas354,Fantasy Era - Dwarf /  Black Beard /  Metallic Silver Helmet with Studded Bands /  Dark Blue Arms,-,Castle / Fantasy Era,"7036-1,852293-1",1,0,,10.99,10.01,
cas355,Fantasy Era - Dwarf /  Dark Brown Beard /  Copper Helmet with Studded Bands /  Sand Blue Arms /  Vertical Cheek Lines,-,Castle / Fantasy Era,7036-1,1,0,,10.66,10.35,
cas356,Fantasy Era - Dwarf /  Dark Brown Beard /  Metallic Gold Helmet with Wings /  Dark Red Arms /  Smirk and Stubble Beard,-,Castle / Fantasy Era,7036-1,1,0,,10,9.67,
cas357,Fantasy Era - Dwarf /  Dark Orange Beard /  Metallic Silver Helmet with Wings /  Dark Red Arms,-,Castle / Fantasy Era,7036-1,1,0,,10.88,9.55,
cas358,Fantasy Era - Troll /  Dark Tan with Copper Armor,-,Castle / Fantasy Era,"7036-1,852293-1",1,0,,20.36,19.73,
cas359,Fantasy Era - Troll Warrior 1,-,Castle / Fantasy Era,"7036-1,852293-1",2,0,,6.33,6.69,
col001,Tribal Hunter /  Series 1 (Minifigure Only without Stand and Accessories),-,Collectible Minifigures / Series 1 Minifigures,"8683-1,8683-17",2,0,,21.72,10.02,
col002,Cheerleader /  Series 1 (Minifigure Only without Stand and Accessories),-,Collectible Minifigures / Series 1 Minifigures,"853195-1,8683-17,8683-2",2,0,,15,4.79,
col003,Caveman /  Series 1 (Minifigure Only without Stand and Accessories),-,Collectible Minifigures / Series 1 Minifigures,"8683-17,8683-3",2,0,,7.49,5.81,
col004,Circus Clown /  Series 1 (Minifigure Only without Stand and Accessories),-,Collectible Minifigures / Series 1 Minifigures,"8683-17,8683-4",2,0,,18.96,11.41,
col005,Zombie /  Series 1 (Minifigure Only without Stand and Accessories),-,Collectible Minifigures / Series 1 Minifigures,"8683-17,8683-5",2,0,,22.42,10.6,
col006,Skater /  Series 1 (Minifigure Only without Stand and Accessories),-,Collectible Minifigures / Series 1 Minifigures,"853195-1,8683-17,8683-6",2,0,,7.33,5.07,
col007,Robot /  Series 1 (Minifigure Only without Stand and Accessories),-,Collectible Minifigures / Series 1 Minifigures,"8683-17,8683-7",2,0,,17.51,7.87,
col008,Demolition Dummy /  Series 1 (Minifigure Only without Stand and Accessories),-,Collectible Minifigures / Series 1 Minifigures,"8683-17,8683-8",2,0,,13.33,5.46,
col009,Magician /  Series 1 (Minifigure Only without Stand and Accessories),-,Collectible Minifigures / Series 1 Minifigures,"8683-17,8683-9",2,0,,8.24,4.62,
col010,Super Wrestler /  Series 1 (Minifigure Only without Stand and Accessories),-,Collectible Minifigures / Series 1 Minifigures,"8683-10,8683-17",2,0,,11.8,8.51,
col011,Nurse /  Series 1 (Minifigure Only without Stand and Accessories),-,Collectible Minifigures / Series 1 Minifigures,"8683-11,8683-17",2,0,,16.03,7.46,
col012,Ninja /  Series 1 (Minifigure Only without Stand and Accessories),-,Collectible Minifigures / Series 1 Minifigures,"8683-12,8683-17",2,0,,13.47,5.31,
col013,Spaceman /  Series 1 (Minifigure Only without Stand and Accessories),-,Collectible Minifigures / Series 1 Minifigures,"8683-13,8683-17",2,0,,10.56,5.2,
col014,Forestman /  Series 1 (Minifigure Only without Stand and Accessories),-,Collectible Minifigures / Series 1 Minifigures,"8683-14,8683-17",2,0,,22.64,18.04,
col015,Deep Sea Diver /  Series 1 (Minifigure Only without Stand and Accessories),-,Collectible Minifigures / Series 1 Minifigures,"8683-15,8683-17",2,0,,9.55,6.36,
col016,Cowboy /  Series 1 (Minifigure Only without Stand and Accessories),-,Collectible Minifigures / Series 1 Minifigures,"8683-16,8683-17",2,0,,15.33,7.92,
col023,Explorer /  Series 2 (Minifigure Only without Stand and Accessories),-,Collectible Minifigures / Series 2 Minifigures,"8684-17,8684-7",1,0,,5.32,4.4,
col050,Kimono Girl /  Series 4 (Minifigure Only without Stand and Accessories),-,Collectible Minifigures / Series 4 Minifigures,"8804-17,8804-2",1,0,,8.05,5.27,
col069,Cave Woman /  Series 5 (Minifigure Only without Stand and Accessories),-,Collectible Minifigures / Series 5 Minifigures,"8805-17,8805-5",1,0,,3.4,2.55,
col126,Thespian / Actor /  Series 8 (Minifigure Only without Stand and Accessories),-,Collectible Minifigures / Series 8 Minifigures,"8833-14,8833-17",1,0,,18.96,10.43,
col140,Mermaid /  Series 9 (Minifigure Only without Stand and Accessories),-,Collectible Minifigures / Series 9 Minifigures,"71000-12,71000-17",1,0,,7.81,5.5,
col160,Motorcycle Mechanic /  Series 10 (Minifigure Only without Stand and Accessories),-,Collectible Minifigures / Series 10 Minifigures,"71001-16,71001-17",1,0,,3.46,2.42,
colhp03,Ron Weasley in School Robes /  Harry Potter /  Series 1 (Minifigure Only without Stand and Accessories),Ron Weasley,Collectible Minifigures / Harry Potter / Harry Potter Series 1,"71022-23,71022-3",1,0,,4.98,2.32,
colhp04,Draco Malfoy /  Harry Potter /  Series 1 (Minifigure Only without Stand and Accessories),Draco Malfoy,Collectible Minifigures / Harry Potter / Harry Potter Series 1,"71022-23,71022-4",1,0,,2.77,2.26,
colhp05,Luna Lovegood /  Harry Potter /  Series 1 (Minifigure Only without Stand and Accessories),Luna Lovegood,Collectible Minifigures / Harry Potter / Harry Potter Series 1,"71022-23,71022-5",1,0,,7.39,7.1,
colhp06,Neville Longbottom /  Harry Potter /  Series 1 (Minifigure Only without Stand and Accessories),Neville Longbottom,Collectible Minifigures / Harry Potter / Harry Potter Series 1,"71022-23,71022-6",1,0,,2.89,2.05,
colhp11,Professor Trelawney /  Harry Potter /  Series 1 (Minifigure Only without Stand and Accessories),Professor Sybill Trelawney,Collectible Minifigures / Harry Potter / Harry Potter Series 1,"71022-11,71022-23",1,0,,14.45,8.34,
colhp12,Cedric Diggory /  Harry Potter /  Series 1 (Minifigure Only without Stand and Accessories),Cedric Diggory,Collectible Minifigures / Harry Potter / Harry Potter Series 1,"71022-12,71022-23",1,0,,4.24,2.61,
colhp17,Newt Scamander /  Harry Potter /  Series 1 (Minifigure Only without Stand and Accessories),Newt Scamander,Collectible Minifigures / Harry Potter / Harry Potter Series 1 / Fantastic Beasts,"71022-17,71022-23",1,0,,3.24,2.45,
colhp27,Luna Lovegood /  Harry Potter /  Series 2 (Minifigure Only without Stand and Accessories),Luna Lovegood,Collectible Minifigures / Harry Potter / Harry Potter Series 2,"71028-17,71028-5",1,0,,4.47,2.78,
colhp28,Griphook /  Harry Potter /  Series 2 (Minifigure Only without Stand and Accessories),Griphook,Collectible Minifigures / Harry Potter / Harry Potter Series 2,"71028-17,71028-6",1,0,,3.52,2.25,
colhp31,Ginny Weasley /  Harry Potter /  Series 2 (Minifigure Only without Stand and Accessories),Ginny Weasley,Collectible Minifigures / Harry Potter / Harry Potter Series 2,"71028-17,71028-9",1,0,,5.26,3.8,
colmar01,The Scarlet Witch /  Marvel Studios /  Series 1 (Minifigure Only without Stand and Accessories),Scarlet Witch,Collectible Minifigures / Super Heroes / Marvel Studios Series 1,"71031-1,71031-13",2,0,,10.22,6.91,
colmar02,The Vision /  Marvel Studios /  Series 1 (Minifigure Only without Stand and Accessories),Vision,Collectible Minifigures / Super Heroes / Marvel Studios Series 1,"71031-13,71031-2",2,0,,5.37,4.22,
colmar03,Monica Rambeau /  Marvel Studios /  Series 1 (Minifigure Only without Stand and Accessories),Monica Rambeau,Collectible Minifigures / Super Heroes / Marvel Studios Series 1,"71031-13,71031-3",2,0,,3.89,2.96,
colmar04,Winter Soldier /  Marvel Studios /  Series 1 (Minifigure Only without Stand and Accessories),Winter Soldier,Collectible Minifigures / Super Heroes / Marvel Studios Series 1,"71031-13,71031-4",2,0,,5.34,4.08,
colmar05,Captain America /  Marvel Studios /  Series 1 (Minifigure Only without Stand and Accessories),Captain America (Sam Wilson),Collectible Minifigures / Super Heroes / Marvel Studios Series 1,"71031-13,71031-5",2,0,,6.62,5.09,
colmar06,Loki /  Marvel Studios /  Series 1 (Minifigure Only without Stand and Accessories),Loki,Collectible Minifigures / Super Heroes / Marvel Studios Series 1,"71031-13,71031-6",2,0,,5.22,3.96,
colmar07,Sylvie /  Marvel Studios /  Series 1 (Minifigure Only without Stand and Accessories),Sylvie,Collectible Minifigures / Super Heroes / Marvel Studios Series 1,"71031-13,71031-7",2,0,,3.6,3.02,
colmar08,Zombie Hunter Spidey /  Marvel Studios /  Series 1 (Minifigure Only without Stand and Accessories),Spider-Man,Collectible Minifigures / Super Heroes / Marvel Studios Series 1,"71031-13,71031-8",2,0,,8.92,6.98,
colmar09,Zombie Captain America /  Marvel Studios /  Series 1 (Minifigure Only without Stand and Accessories),Zombie Captain America,Collectible Minifigures / Super Heroes / Marvel Studios Series 1,"71031-13,71031-9",2,0,,5.41,4.59,
colmar10,Captain Carter /  Marvel Studios /  Series 1 (Minifigure Only without Stand and Accessories),Captain Carter,Collectible Minifigures / Super Heroes / Marvel Studios Series 1,"71031-10,71031-13",2,0,,5.93,4.6,
colmar11,T'Challa Star-Lord /  Marvel Studios /  Series 1 (Minifigure Only without Stand and Accessories),Star-Lord (T'Challa),Collectible Minifigures / Super Heroes / Marvel Studios Series 1,"71031-11,71031-13",2,0,,4.74,3.6,
colmar12,Gamora with Blade of Thanos /  Marvel Studios /  Series 1 (Minifigure Only without Stand and Accessories),Gamora,Collectible Minifigures / Super Heroes / Marvel Studios Series 1,"71031-12,71031-13",2,0,,4.79,3.59,
colsh04,Stargirl /  DC Super Heroes (Minifigure Only without Stand and Accessories),Star Girl,Collectible Minifigures / Super Heroes / DC Super Heroes,"71026-17,71026-4",1,0,,3.96,2.34,
colsh06,Cheetah /  DC Super Heroes (Minifigure Only without Stand and Accessories),Cheetah,Collectible Minifigures / Super Heroes / DC Super Heroes,"71026-17,71026-6,77906-1",1,0,,3.52,2.98,
colsh08,Green Lantern /  DC Super Heroes (Minifigure Only without Stand and Accessories),Green Lantern,Collectible Minifigures / Super Heroes / DC Super Heroes,"71026-17,71026-8",1,0,,4.04,2.83,
colsh11,Huntress /  DC Super Heroes (Minifigure Only without Stand and Accessories),Huntress,Collectible Minifigures / Super Heroes / DC Super Heroes,"71026-11,71026-17",1,0,,7.31,5.44,
colsh12,Metamorpho /  DC Super Heroes (Minifigure Only without Stand and Accessories),Metamorpho,Collectible Minifigures / Super Heroes / DC Super Heroes,"71026-12,71026-17",1,0,,4.05,2.03,
colsh13,Joker /  DC Super Heroes (Minifigure Only without Stand and Accessories),The Joker,Collectible Minifigures / Super Heroes / DC Super Heroes,"71026-13,71026-17",1,0,,4.15,3.33,
colsh14,Bumblebee /  DC Super Heroes (Minifigure Only without Stand and Accessories),Bumblebee,Collectible Minifigures / Super Heroes / DC Super Heroes,"71026-14,71026-17",1,0,,4.75,3.87,
coltlbm12,Eraser /  The LEGO Batman Movie /  Series 1 (Minifigure Only without Stand and Accessories),Eraser,Collectible Minifigures / Super Heroes / The LEGO Batman Movie / The LEGO Batman Movie Series 1,"71017-12,71017-21",1,0,,3.29,1.99,
cop025,Police - Zipper with Sheriff Star /  Black Hat,-,Town / Classic Town / Police,1376-1,1,0,,3.44,1.11,
cty0004,Fire - Reflective Stripes /  Black Legs /  Silver Fire Helmet /  Gray Beard,-,Town / City / Fire,7239-1,1,0,,1.8,1.1,
cty0020,Fire - Reflective Stripes /  Black Legs /  White Fire Helmet /  Cheek Lines /  Dark Bluish Gray Hands,-,Town / City / Fire,"5532-1,7239-1",1,0,,1.74,1.01,
cty0022,Fire - Reflective Stripes /  Black Legs /  White Fire Helmet /  Brown Beard Angular,-,Town / City / Fire,"7240-1,7241-1",1,0,,3.6,0.98,
cty0023,Fire - Reflective Stripes /  Black Legs /  White Fire Helmet /  Brown Eyebrows /  Thin Grin,-,Town / City / Fire,7240-1,1,0,,1.93,0.89,
cty0024,Fire - Reflective Stripes /  Black Legs /  White Fire Helmet /  Breathing Neck Gear with Air Tanks,-,Town / City / Fire,7240-1,1,0,,2.28,1.19,
cty0043,Fire - Reflective Stripes /  Black Legs /  White Fire Helmet /  Cheek Lines /  Yellow Hands,-,Town / City / Fire,"30001-1,4992-1,7906-1,7945-1",1,0,,1.7,0.99,
cty0044,Fire - Reflective Stripes /  Black Legs /  White Fire Helmet /  Angry Eyebrows,-,Town / City / Fire,7906-1,1,0,,3.17,0.98,
cty0045,Fire - Reflective Stripes /  Black Legs /  Silver Fire Helmet /  Beard Around Mouth,-,Town / City / Fire,7906-1,1,0,,2.94,1.03,
cty0052,Construction Worker - Orange Zipper /  Safety Stripes /  Orange Arms /  Orange Legs /  Red Construction Helmet,-,Town / City / Construction,"5610-1,5627-1",1,0,,0.51,1.3,
cty0153,Police - City Suit with Blue Tie and Badge /  Black Legs /  Brown Moustache /  Black Hat,-,Town / City / Police,7687-1,1,0,,1.85,0.98,
cty0155,Plain Blue Torso with White Arms /  Dark Blue Legs /  Helmet,-,Town / City,7687-1,1,0,,0.52,1.35,
cty0156,Plain White Torso with White Arms /  Green Legs /  Helmet and Scarf,-,Town / City,7687-1,1,0,,2.81,1.4,
cty0157,Lumberjack with Orange Vest,-,Town / City,7687-1,1,0,,2,1.23,
cty0158,Sanitary Engineer 3 - Orange Legs /  Glasses and Beard,-,Town / City / Construction,7687-1,1,0,,1.96,1.04,
cty0567,Utility Shuttle Astronaut - Female,-,Town / City / Space Exploration,"60078-1,60080-1",1,0,,3.79,1.57,
cty0568,Utility Shuttle Astronaut - Male,-,Town / City / Space Exploration,"30315-1,60078-1,60080-1",1,0,,2.9,1.43,
cty1319,Rocket Racer - Stuntz Driver /  White Jumpsuit with Blue and Red Arms /  White Helmet /  Trans-Red Visor,Rocket Racer,Town / City / Stuntz,60298-1,1,0,,2.49,1.55,
cty1479,Peapod Costume Girl - Green Jacket,-,Town / City,60347-1,1,0,,5.32,5.19,
cty1480,Mr. Produce,Mr. Produce,Town / City,"60347-1,60352-1",1,0,,2.48,2,
cty1481,Child - Girl /  Bright Pink Hoodie with Medium Blue and White Diagonal Stripes /  Sand Blue Short Legs /  Dark Orange Hair with Pigtails /  Freckles,-,Town / City,60347-1,1,0,,3.65,3.1,
cty1482,Grocery Store Customer - Male /  Bright Light Yellow Shirt /  Dark Azure Legs with Prosthetic Leg /  Medium Nougat Hair,-,Town / City,60347-1,1,0,,8.42,5.74,
cty1483,Forklift Driver - Female /  Neon Yellow Safety Vest /  Dark Blue Legs /  White Cap with Bright Light Yellow Ponytail Hair,-,Town / City,60347-1,1,0,,3.48,2.11,
cty1692,Astronaut - Female /  White Spacesuit with Dark Blue Arms /  Dark Blue Helmet /  Trans-Clear Visor /  Dark Azure Jet Pack,-,Town / City / Space Exploration,60430-1,1,0,,3.71,3.11,
dim014,Cyberman,Cyberman,Dimensions / Doctor Who,71238-1,1,0,,18.56,13.87,
din009,Digger - Binoculars Torso,-,Dino Attack / General,"7294-1,7473-1",1,0,,4.93,1.65,
dis032,Elsa /  Disney /  Series 2 (Minifigure Only without Stand and Accessories),Elsa,Collectible Minifigures / Disney / Disney Series 2,"71024-19,71024-9",1,0,,6.99,4.6,
dis033,Anna /  Disney /  Series 2 (Minifigure Only without Stand and Accessories),Anna,Collectible Minifigures / Disney / Disney Series 2,"71024-10,71024-19",1,0,,5.31,3.82,
